Season	Column1	Team name	League standings	Playoff	Division	Region	W	L	W/L%	GB	PS/G	PA/G	SRS	PlayOffStandings
2014-15	Toronto Raptors* (4) 	Toronto Raptors	4	play-off	Atlantic Division	Eastern	49	33	.598	?	104.0	100.9	2.45	5
2014-15	Boston Celtics* (7) 	Boston Celtics	7	play-off	Atlantic Division	Eastern	40	42	.488	9.0	101.4	101.2	-0.40	5
2014-15	Brooklyn Nets* (8) 	Brooklyn Nets	8	play-off	Atlantic Division	Eastern	38	44	.463	11.0	98.0	100.9	-3.13	5
2014-15	Philadelphia 76ers (14) 	Philadelphia 76ers	14	NA	Atlantic Division	Eastern	18	64	.220	31.0	92.0	101.0	-9.04	NA
2014-15	New York Knicks (15) 	New York Knicks	15	NA	Atlantic Division	Eastern	17	65	.207	32.0	91.9	101.2	-9.50	NA
2014-15	Cleveland Cavaliers* (2) 	Cleveland Cavaliers	2	play-off	Central Division	Eastern	53	29	.646	?	103.1	98.7	4.08	2
2014-15	Chicago Bulls* (3) 	Chicago Bulls	3	play-off	Central Division	Eastern	50	32	.610	3.0	100.8	97.8	2.54	4
2014-15	Milwaukee Bucks* (6) 	Milwaukee Bucks	6	play-off	Central Division	Eastern	41	41	.500	12.0	97.8	97.4	-0.09	5
2014-15	Indiana Pacers (9) 	Indiana Pacer	9	NA	Central Division	Eastern	38	44	.463	15.0	97.3	97.0	-0.23	NA
2014-15	Detroit Pistons (12) 	Detroit Pistons	12	NA	Central Division	Eastern	32	50	.390	21.0	98.5	99.5	-1.39	NA
2014-15	Atlanta Hawks* (1) 	Atlanta Hawks	1	play-off	Southeast Division	Eastern	60	22	.732	?	102.5	97.1	4.75	3
2014-15	Washington Wizards* (5) 	Washington Wizards	5	play-off	Southeast Division	Eastern	46	36	.561	14.0	98.5	97.8	0.17	4
2014-15	Miami Heat (10) 	Miami Heat	10	NA	Southeast Division	Eastern	37	45	.451	23.0	94.7	97.3	-2.92	NA
2014-15	Charlotte Hornets (11) 	Charlotte Hornets	11	NA	Southeast Division	Eastern	33	49	.402	27.0	94.2	97.3	-3.44	NA
2014-15	Orlando Magic (13) 	Orlando Magic	13	NA	Southeast Division	Eastern	25	57	.305	35.0	95.7	101.4	-5.87	NA
2014-15	Portland Trail Blazers* (4) 	Portland Trail Blazers	4	play-off	Northwest Division	Western	51	31	.622	?	102.8	98.6	4.41	5
2014-15	Oklahoma City Thunder (9) 	Oklahoma City Thunde	9	NA	Northwest Division	Western	45	37	.549	6.0	104.0	101.8	2.47	NA
2014-15	Utah Jazz (11) 	Utah Jazz	11	NA	Northwest Division	Western	38	44	.463	13.0	95.1	94.9	0.71	NA
2014-15	Denver Nuggets (12) 	Denver Nuggets	12	NA	Northwest Division	Western	30	52	.366	21.0	101.5	105.0	-3.07	NA
2014-15	Minnesota Timberwolves (15) 	Minnesota Timberwolves	15	NA	Northwest Division	Western	16	66	.195	35.0	97.8	106.5	-8.00	NA
2014-15	Golden State Warriors* (1) 	Golden State Warriors	1	play-off	Pacific Division	Western	67	15	.817	?	110.0	99.9	10.01	1
2014-15	Los Angeles Clippers* (2) 	Los Angeles Clippers	2	play-off	Pacific Division	Western	56	26	.683	11.0	106.7	100.1	6.80	4
2014-15	Phoenix Suns (10) 	Phoenix Suns	10	NA	Pacific Division	Western	39	43	.476	28.0	102.4	103.3	-0.38	NA
2014-15	Sacramento Kings (13) 	Sacramento Kings	13	NA	Pacific Division	Western	29	53	.354	38.0	101.3	105.0	-3.07	NA
2014-15	Los Angeles Lakers (14) 	Los Angeles Lakers	14	NA	Pacific Division	Western	21	61	.256	46.0	98.5	105.3	-6.17	NA
2014-15	Houston Rockets* (2) 	Houston Rockets	2	play-off	Southwest Division	Western	56	26	.683	?	103.9	100.5	3.82	3
2014-15	San Antonio Spurs* (5) 	San Antonio Spurs	5	play-off	Southwest Division	Western	55	27	.671	1.0	103.2	97.0	6.34	5
2014-15	Memphis Grizzlies* (5) 	Memphis Grizzlies	5	play-off	Southwest Division	Western	55	27	.671	1.0	98.3	95.1	3.62	4
2014-15	Dallas Mavericks* (7) 	Dallas Mavericks	7	play-off	Southwest Division	Western	50	32	.610	6.0	105.2	102.3	3.36	5
2014-15	New Orleans Pelicans* (8) 	New Orleans Pelicans	8	play-off	Southwest Division	Western	45	37	.549	11.0	99.4	98.6	1.13	5
2013-14	Toronto Raptors* (3) 	Toronto Raptors	3	play-off	Atlantic Division	Eastern	48	34	.585	?	101.3	98.0	2.55	5
2013-14	Brooklyn Nets* (5) 	Brooklyn Nets	5	play-off	Atlantic Division	Eastern	44	38	.537	4.0	98.5	99.5	-1.58	4
2013-14	New York Knicks (9) 	New York Knick	9	NA	Atlantic Division	Eastern	37	45	.451	11.0	98.6	99.4	-1.40	NA
2013-14	Boston Celtics (12) 	Boston Celtics	12	NA	Atlantic Division	Eastern	25	57	.305	23.0	96.2	100.7	-4.97	NA
2013-14	Philadelphia 76ers (14) 	Philadelphia 76ers	14	NA	Atlantic Division	Eastern	19	63	.232	29.0	99.5	109.9	-10.66	NA
2013-14	Indiana Pacers* (1) 	Indiana Pacers	1	play-off	Central Division	Eastern	56	26	.683	?	96.7	92.3	3.63	3
2013-14	Chicago Bulls* (3) 	Chicago Bulls	3	play-off	Central Division	Eastern	48	34	.585	8.0	93.7	91.8	1.20	5
2013-14	Cleveland Cavaliers (10) 	Cleveland Cavaliers	10	NA	Central Division	Eastern	33	49	.402	23.0	98.2	101.5	-3.86	NA
2013-14	Detroit Pistons (11) 	Detroit Pistons	11	NA	Central Division	Eastern	29	53	.354	27.0	101.0	104.7	-4.13	NA
2013-14	Milwaukee Bucks (15) 	Milwaukee Bucks	15	NA	Central Division	Eastern	15	67	.183	41.0	95.5	103.7	-8.41	NA
2013-14	Miami Heat* (2) 	Miami Heat	2	play-off	Southeast Division	Eastern	54	28	.659	?	102.2	97.4	4.15	2
2013-14	Washington Wizards* (5) 	Washington Wizards	5	play-off	Southeast Division	Eastern	44	38	.537	10.0	100.7	99.4	0.48	4
2013-14	Charlotte Bobcats* (7) 	Charlotte Bobcats	7	play-off	Southeast Division	Eastern	43	39	.524	11.0	96.9	97.1	-0.89	5
2013-14	Atlanta Hawks* (8) 	Atlanta Hawks	8	play-off	Southeast Division	Eastern	38	44	.463	16.0	101.0	101.5	-0.88	5
2013-14	Orlando Magic (13) 	Orlando Magic	13	NA	Southeast Division	Eastern	23	59	.280	31.0	96.5	102.0	-5.88	NA
2013-14	Oklahoma City Thunder* (2) 	Oklahoma City Thunder	2	play-off	Northwest Division	Western	59	23	.720	?	106.2	99.8	6.66	3
2013-14	Portland Trail Blazers* (4) 	Portland Trail Blazers	4	play-off	Northwest Division	Western	54	28	.659	5.0	106.7	102.8	4.44	4
2013-14	Minnesota Timberwolves (10) 	Minnesota Timberwolves	10	NA	Northwest Division	Western	40	42	.488	19.0	106.9	104.3	3.10	NA
2013-14	Denver Nuggets (11) 	Denver Nuggets	11	NA	Northwest Division	Western	36	46	.439	23.0	104.4	106.5	-1.40	NA
2013-14	Utah Jazz (15) 	Utah Jazz	15	NA	Northwest Division	Western	25	57	.305	34.0	95.0	102.2	-6.27	NA
2013-14	Los Angeles Clippers* (3) 	Los Angeles Clippers	3	play-off	Pacific Division	Western	57	25	.695	?	107.9	101.0	7.27	4
2013-14	Golden State Warriors* (6) 	Golden State Warriors	6	play-off	Pacific Division	Western	51	31	.622	6.0	104.3	99.5	5.15	5
2013-14	Phoenix Suns (9) 	Phoenix Sun	9	NA	Pacific Division	Western	48	34	.585	9.0	105.2	102.6	3.02	NA
2013-14	Sacramento Kings (13) 	Sacramento Kings	13	NA	Pacific Division	Western	28	54	.341	29.0	100.5	103.4	-2.08	NA
2013-14	Los Angeles Lakers (14) 	Los Angeles Lakers	14	NA	Pacific Division	Western	27	55	.329	30.0	103.0	109.2	-5.33	NA
2013-14	San Antonio Spurs* (1) 	San Antonio Spurs	1	play-off	Southwest Division	Western	62	20	.756	?	105.4	97.6	8.00	1
2013-14	Houston Rockets* (4) 	Houston Rockets	4	play-off	Southwest Division	Western	54	28	.659	8.0	107.7	103.1	5.06	5
2013-14	Memphis Grizzlies* (7) 	Memphis Grizzlies	7	play-off	Southwest Division	Western	50	32	.610	12.0	96.1	94.6	2.18	5
2013-14	Dallas Mavericks* (8) 	Dallas Mavericks	8	play-off	Southwest Division	Western	49	33	.598	13.0	104.8	102.4	2.91	5
2013-14	New Orleans Pelicans (12) 	New Orleans Pelicans	12	NA	Southwest Division	Western	34	48	.415	28.0	99.7	102.4	-1.98	NA
