
Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTS/G
1,Milwaukee Bucks*,82,19905,3207,7033,.456,42,203,.207,3165,6830,.463,1869,2489,.751,1252,2235,3487,1959,653,319,1404,2093,8325,101.5
2,Atlanta Hawks*,82,19855,3277,6845,.479,39,185,.211,3238,6660,.486,1834,2380,.771,1191,2410,3601,2026,579,424,1409,2087,8427,102.8
3,New York Knicks*,82,19855,3260,6687,.488,52,189,.275,3208,6498,.494,1876,2474,.758,1045,2171,3216,2049,721,397,1683,2197,8448,103.0
4,Philadelphia 76ers*,82,19955,3427,7136,.480,47,207,.227,3380,6929,.488,1757,2367,.742,1235,2237,3472,2062,805,483,1559,2237,8658,105.6
5,Washington Bullets*,82,19905,3465,7086,.489,37,172,.215,3428,6914,.496,1693,2218,.763,1037,2381,3418,2038,706,492,1277,2021,8660,105.6
6,Boston Celtics*,82,19955,3463,7372,.470,71,219,.324,3392,7153,.474,1659,2143,.774,1101,2227,3328,1957,703,328,1329,2090,8656,105.6
7,Cleveland Cavaliers,82,19855,3373,6930,.487,50,190,.263,3323,6740,.493,1939,2541,.763,983,2405,3388,2141,579,395,1224,1906,8735,106.5
8,Seattle SuperSonics*,82,19780,3585,7337,.489,54,228,.237,3531,7109,.497,1655,2168,.763,1167,2404,3571,2278,663,388,1330,2097,8879,108.3
9,New Jersey Nets*,82,19805,3422,6974,.491,48,181,.265,3374,6793,.497,2037,2675,.761,1097,2307,3404,1913,781,416,1674,2161,8929,108.9
10,Chicago Bulls,82,19980,3502,7082,.494,37,182,.203,3465,6900,.502,1885,2471,.763,1125,2388,3513,2235,786,514,1513,2110,8926,108.9
11,Indiana Pacers,82,19780,3552,7175,.495,29,146,.199,3523,7029,.501,1828,2415,.757,1194,2564,3758,2117,761,444,1587,1930,8961,109.3
12,Portland Trail Blazers*,82,19805,3566,6943,.514,57,208,.274,3509,6735,.521,1797,2366,.760,1059,2185,3244,2119,649,440,1633,2184,8986,109.6
13,Dallas Mavericks*,82,19955,3633,7282,.499,63,222,.284,3570,7060,.506,1688,2198,.768,1180,2346,3526,2131,632,417,1386,2213,9017,110.0
14,Phoenix Suns*,82,19780,3509,7061,.497,54,219,.247,3455,6842,.505,1956,2540,.770,1065,2333,3398,2059,675,298,1480,2038,9028,110.1
15,Kansas City Kings*,82,19755,3601,7169,.502,33,164,.201,3568,7005,.509,1909,2510,.761,1126,2387,3513,2108,660,493,1584,2191,9144,111.5
16,Los Angeles Lakers*,82,19780,3672,7600,.483,63,223,.283,3609,7377,.489,1763,2346,.751,1253,2154,3407,2261,797,376,1443,1973,9170,111.8
17,Golden State Warriors,82,19830,3725,7210,.517,36,171,.211,3689,7039,.524,1801,2377,.758,1211,2513,3724,2150,691,494,1694,2246,9287,113.3
18,Detroit Pistons*,82,19905,3657,7369,.496,53,202,.262,3604,7167,.503,1941,2577,.753,1163,2457,3620,2193,621,527,1480,2187,9308,113.5
19,Houston Rockets,82,19755,3583,7412,.483,42,157,.268,3541,7255,.488,2116,2803,.755,1197,2458,3655,2023,782,426,1421,1916,9324,113.7
20,Utah Jazz*,82,19780,3745,7872,.476,46,208,.221,3699,7664,.483,1799,2414,.745,1458,2461,3919,2237,747,466,1438,2194,9335,113.8
21,San Diego Clippers,82,19730,3771,7406,.509,53,187,.283,3718,7219,.515,1749,2233,.783,1112,2163,3275,2370,727,458,1242,2043,9344,114.0
22,San Antonio Spurs,82,19980,3996,7910,.505,52,216,.241,3944,7694,.513,1840,2427,.758,1293,2455,3748,2518,652,464,1427,2187,9884,120.5
23,Denver Nuggets*,82,19805,4016,7747,.518,62,205,.302,3954,7542,.524,2143,2860,.749,1228,2737,3965,2453,671,545,1538,2272,10237,124.8
,League Average,82,19847,3566,7245,.492,49,195,.250,3517,7050,.499,1849,2434,.760,1164,2364,3528,2148,697,435,1468,2112,9029,110.1
