No.,Player,Pos,PER
3.0,Mahmoud Abdul-Rauf,PG,12.2
14.0,Michael Adams,PG,22.3
33.0,Greg Anderson,PF,9.2
5.0,Kenny Battle,SG,12.3
,Anthony Cook,PF,10.7
6.0,Walter Davis,SG,17.1
23.0,T.R. Dunn,SG,10.7
22.0,Jim Farmer,SG,12.3
1.0,Corey Gaines,SG,15.2
15.0,Avery Johnson,PG,14.2
35.0,Jerome Lane,PF,12.8
22.0,Tim Legler,SG,6.4
30.0,Marcus Liberty,SF,10.4
21.0,Todd Lichti,SG,13.6
34.0,Anthony Mason,PF,15.7
5.0,Terry Mills,PF,14.5
22.0,Craig Neal,PG,8.2
41.0,Blair Rasmussen,C,11.7
34.0,Reggie Williams,SF,14.6
42.0,Joe Wolf,C,10.1
0.0,Orlando Woolridge,SF,19.5
