No.,Player,Pos,PER
23.0,Michael Adams,PG,16.1
7.0,Rafael Addison,SF,9.6
12.0,Kenny Anderson,PG,19.2
14.0,Corey Beck,PG,0.8
1.0,Muggsy Bogues,PG,10.6
24.0,Scott Burrell,SF,13.0
30.0,Dell Curry,SG,16.8
52.0,Matt Geiger,C,14.2
13.0,Kendall Gill,SG,15.3
35.0,Gerald Glass,SF,8.4
5.0,Anthony Goldwire,PG,10.4
4.0,Darrin Hancock,SF,10.0
,Donald Hodge,C,8.0
2.0,Larry Johnson,PF,19.8
20.0,Pete Myers,SG,7.8
0.0,Robert Parish,C,13.0
3.0,Khalid Reeves,PG,15.1
41.0,Glen Rice,SF,17.8
12.0,Greg Sutton,PG,11.0
43.0,Joe Wolf,PF,-2.0
25.0,George Zidek,C,8.0
