No.,Player,Pos,PER
2,Keith Askins,SF,10.0
7,Rex Chapman,SG,13.0
12,Bimbo Coles,PG,13.0
23,Tyrone Corbin,SF,10.8
5,Sasha Danilovic,SG,14.4
28,LeRon Ellis,C,1.6
35,Kevin Gamble,SF,8.8
15,Chris Gatling,PF,24.4
54,Ron Grandison,PF,6.2
10,Tim Hardaway,PG,19.1
21,Stacey King,PF,2.0
22,Voshon Lenard,SG,15.9
25,Jeff Malone,SG,8.0
33,Alonzo Mourning,C,22.7
20,Pete Myers,SG,8.9
30,Billy Owens,SF,14.8
15,Terrence Rencher,PG,6.5
24,Danny Schayes,C,8.1
14,Tony Smith,SG,11.0
40,Kurt Thomas,PF,13.5
42,Walt Williams,SF,15.1
42,Kevin Willis,PF,12.1
