No.,Player,Pos,PER
7,Kenny Anderson,PG,19.5
2,Stacey Augmon,SG,12.1
4,Marcus Brown,PG,12.9
6,Mitchell Butler,SG,9.0
12,Randolph Childress,PG,5.0
19,Aleksandar Djordjevic,SG,12.5
20,Chris Dudley,C,10.1
31,Reggie Jordan,SG,12.8
23,Aaron McKie,SG,9.1
9,Ruben Nembhard,PG,10.9
5,Jermaine O'Neal,PF,13.7
34,Isaiah Rider,SG,13.8
3,Clifford Robinson,SF,13.1
21,Rumeal Robinson,PG,11.9
11,Arvydas Sabonis,C,21.8
33,Gary Trent,PF,16.8
30,Rasheed Wallace,PF,18.4
8,Ennis Whatley,PG,5.1
10,Dontonio Wingfield,SF,11.6
