No.,Player,Pos,PER
11,B.J. Armstrong,PG,6.3
1,Muggsy Bogues,PG,12.3
21,Jason Caffey,PF,13.4
12,Bimbo Coles,PG,10.4
35,Erick Dampier,C,14.0
0,Tony Delk,PG,13.3
33,Duane Ferrell,SF,6.4
31,Adonal Foyle,C,9.2
52,Todd Fuller,C,11.8
20,Jeff Grayer,SG,13.5
22,Jim Jackson,SG,13.2
2,Gerald Madkins,SG,9.8
3,Donyell Marshall,SF,15.5
20,Brian Shaw,PG,8.7
8,Dickey Simpkins,PF,9.0
32,Joe Smith,PF,15.1
50,Felton Spencer,C,8.5
15,Latrell Sprewell,SG,15.1
30,Carl Thomas,SG,11.0
34,David Vaughn,PF,10.8
30,Clarence Weatherspoon,PF,14.4
11,Brandon Williams,SG,2.9
