No.,Player,Pos,PER
00,Benoit Benjamin,C,12.5
25,Tom Chambers,PF,31.5
44,Derrick Coleman,PF,17.5
34,Terry Cummings,PF,12.9
50,William Cunningham,C,33.3
7,Mark Davis,SF,10.9
3,Allen Iverson,PG,20.4
22,Jim Jackson,SG,13.1
8,Aaron McKie,SG,8.1
00,Eric Montross,C,6.7
9-11,Doug Overton,PG,5.2
12,Anthony Parker,SG,14.0
42,Theo Ratliff,C,17.2
22,Brian Shaw,PG,10.0
9,Joe Smith,PF,12.9
20,Eric Snow,PG,12.5
42,Jerry Stackhouse,SF,14.9
41,Kebu Stewart,PF,14.0
1,Tim Thomas,SF,14.9
23,Rex Walters,SG,9.7
35,Clarence Weatherspoon,PF,13.7
55,Scott Williams,C,12.1
