No.,Player,Pos,PER
21,Robert Archibald,PF,20.6
3,Keith Bogans,SF,11.0
55,Andrew DeClercq,C,10.6
13,Derrick Dial,SG,11.6
22,Reece Gaines,PG,6.1
8,Pat Garrity,PF,0.5
7,Gordan Giricek,SF,11.9
0,Drew Gooden,PF,15.6
4,Donnell Harvey,PF,9.5
5,Juwan Howard,PF,15.6
34,Steven Hunter,C,11.2
31,Britton Johnsen,C,2.6
10,Tyronn Lue,PG,12.6
1,Tracy McGrady,SG,25.3
4,Lee Nailon,SF,13.5
27,Zaza Pachulia,C,10.8
26,Desmond Penigar,PF,12.9
45,Sean Rooks,C,9.0
2,DeShawn Stevenson,SF,10.5
31,Rod Strickland,PG,15.8
11,Shammond Williams,SG,14.0
