No.,Player,Pos,PER
24,Jonathan Bender,SF,5.8
44,Austin Croshere,PF,13.5
12,Michael Curry,SF,5.1
32,Dale Davis,C,15.7
54,John Edwards,C,5.1
10,Jeff Foster,C,15.4
3,Tremaine Fowlkes,SF,7.5
4,Eddie Gill,PG,9.5
2,Marcus Haislip,PF,4.0
13,David Harrison,C,12.9
1,Stephen Jackson,SF,15.9
32,Britton Johnsen,SF,0.4
8,Anthony Johnson,PG,14.3
20,Fred Jones,SG,13.3
33,James Jones,SF,10.5
31,Reggie Miller,SG,16.6
7,Jermaine O'Neal,PF,22.9
62,Scot Pollard,C,11.2
11,Jamaal Tinsley,PG,18.6
91,Metta World Peace,SF,23.5
