No.,Player,Pos,PER
12,Rafer Alston,PG,13.2
31,Shane Battier,SF,11.7
0,Aaron Brooks,PG,13.1
3,Steve Francis,PG,9.1
25,Gerald Green,SF,76.3
19,Mike Harris,PF,17.1
44,Chuck Hayes,PF,11.2
2,Luther Head,SG,13.6
8,Bobby Jackson,PG,14.6
7,Mike James,PG,9.6
0,Bobby Jones,SF,5.9
14,Carl Landry,PF,21.4
1,Tracy McGrady,SG,18.4
11,Yao Ming,C,22.5
55,Dikembe Mutombo,C,14.5
20,Steve Novak,SF,17.3
4,Luis Scola,PF,16.1
13,Kirk Snyder,PF,14.4
6,Bonzi Wells,SG,14.1
30,Justin Williams,C,-13.0
33,Loren Woods,C,13.4
