No.,Player,Pos,PER
17,Brent Barry,SF,16.7
15,Matt Bonner,PF,12.4
12,Bruce Bowen,SF,7.0
21,Tim Duncan,C,24.4
16,Francisco Elson,C,8.5
4,Michael Finley,SG,11.4
20,Manu Ginobili,SG,24.3
25,Robert Horry,PF,9.6
1,DerMarr Johnson,SF,17.3
42,Bobby Jones,SF,3.4
3,Keith Langford,SG,-2.4
28,Ian Mahinmi,C,35.3
7,Fabricio Oberto,PF,13.8
9,Tony Parker,PG,20.0
23,Jeremy Richardson,SG,11.0
3,Damon Stoudamire,PG,4.6
40,Kurt Thomas,PF,11.1
5,Ime Udoka,PF,11.5
11,Jacque Vaughn,PG,9.2
35,Darius Washington,SG,9.0
33,Marcus Williams,SF,0.0
