No.,Player,Pos,PER
4,Nick Collison,PF,15.0
12,Ronald Dupree,SF,17.5
35,Kevin Durant,SG,15.8
16,Francisco Elson,C,3.8
15,Mickael Gelabale,SG,10.5
6,Eddie Gill,PG,-18.9
22,Jeff Green,SF,9.8
44,Adrian Griffin,SF,9.3
42,Donyell Marshall,PF,10.9
14,Ira Newble,SF,0.5
27,Johan Petro,C,10.0
8,Luke Ridnour,PG,11.3
18,Mouhamed Sene,C,18.2
31,Robert Swift,C,2.9
3,Wally Szczerbiak,SF,15.7
44,Kurt Thomas,C,15.8
25,Earl Watson,PG,14.6
2,Delonte West,PG,9.8
54,Chris Wilcox,PF,16.3
21,Damien Wilkins,SF,11.3
29,Mike Wilks,PG,17.7
