No.,Player,Pos,PER
2,Jordan Farmar,PG,14.1
14,Derrick Favors,PF,12.6
50,Dan Gadzuric,PF,9.1
0,Sundiata Gaines,PG,15.3
26,Stephen Graham,SG,4.4
0,Orien Greene,SG,33.0
34,Devin Harris,PG,17.6
43,Kris Humphries,PF,17.8
10,Damion James,SF,10.1
11,Brook Lopez,C,19.3
22,Anthony Morrow,SG,12.1
7,Troy Murphy,PF,6.7
21,Travis Outlaw,SF,8.8
27,Johan Petro,C,9.9
13,Quinton Ross,SF,3.7
8,Joe Smith,PF,-3.9
18,Ben Uzoh,PG,14.7
20,Sasha Vujacic,SG,12.6
6,Mario West,SG,9.1
8,Deron Williams,PG,17.0
1,Terrence Williams,SG,6.2
32,Brandan Wright,PF,15.5
