No.,Player,Pos,PER
21,Morris Almond,SG,8.7
7,Andray Blatche,PF,10.6
35,Trevor Booker,PF,15.4
43,Brian Cook,PF,10.4
15,Jordan Crawford,SG,14.5
6,Maurice Evans,SF,9.0
42,Nene Hilario,C,24.2
9,Rashard Lewis,SF,9.3
22,Shelvin Mack,PG,11.9
20,Cartier Martin,SF,12.8
8,Roger Mason,SG,12.1
34,JaVale McGee,C,19.6
55,Hamady N'Diaye,C,-13.1
13,Kevin Seraphin,C,15.8
31,Chris Singleton,SF,8.3
3,James Singleton,PF,19.6
21,Ronny Turiaf,C,10.8
1,Edwin Ubiles,SF,7.3
24,Jan Vesely,PF,11.5
2,John Wall,PG,17.7
1,Nick Young,SG,14.2
