No.,Player,Pos,PER
30,Brandon Bass,PF,16.3
0,Avery Bradley,SG,11.5
99,Jae Crowder,SF,14.1
70,Luigi Datome,SF,14.9
8,Jeff Green,SF,14.6
8,Jonas Jerebko,PF,15.5
28,Jameer Nelson,PG,8.7
41,Kelly Olynyk,C,15.9
12,Dwight Powell,PF,34.9
26,Phil Pressey,PG,11.8
12,Tayshaun Prince,SF,16.9
42,Shavlik Randolph,PF,11.4
9,Rajon Rondo,PG,15.4
36,Marcus Smart,PG,11.0
7,Jared Sullinger,PF,17.9
4,Isaiah Thomas,PG,22.3
4,Marcus Thornton,SG,15.8
11,Evan Turner,SG,12.8
45,Gerald Wallace,SF,6.2
12,Brandan Wright,PF,15.0
13,James Young,SG,8.5
44,Tyler Zeller,C,18.9
