No.,Player,Pos,PER
22,Matt Barnes,SF,11.3
25,Reggie Bullock,SF,8.8
11,Jamal Crawford,SG,16.6
9,Jared Cunningham,SG,7.3
0,Glen Davis,PF,10.8
14,Chris Douglas-Roberts,SG,3.3
1,Jordan Farmar,PG,9.9
32,Blake Griffin,PF,22.8
1,Jordan Hamilton,SF,8.3
10,Spencer Hawes,PF,9.8
14,Lester Hudson,SG,16.0
31,Dahntay Jones,SF,1.9
6,DeAndre Jordan,C,21.0
3,Chris Paul,PG,26.0
4,J.J. Redick,SG,16.2
25,Austin Rivers,PG,10.6
8,Nate Robinson,PG,10.4
15,Hedo Turkoglu,SF,10.5
13,Ekpe Udoh,PF,11.6
30,C.J. Wilcox,SG,8.5
