No.,Player,Pos,PER
34,Giannis Antetokounmpo,SG,14.8
19,Jerryd Bayless,PG,11.1
5,Michael Carter-Williams,PG,16.3
9,Jared Dudley,SG,12.3
11,Tyler Ennis,PG,6.6
13,Jorge Gutierrez,PG,11.1
31,John Henson,C,18.0
7,Ersan Ilyasova,PF,16.8
23,Chris Johnson,SF,9.7
11,Brandon Knight,PG,18.5
5,Kendall Marshall,PG,12.4
6,Kenyon Martin,PF,10.0
0,O.J. Mayo,SG,13.5
22,Khris Middleton,SF,15.6
3,Johnny O'Bryant,PF,3.8
27,Zaza Pachulia,C,15.6
12,Jabari Parker,SF,14.5
21,Miles Plumlee,C,15.0
8,Larry Sanders,C,15.2
6,Nate Wolters,PG,5.4
