No.,Player,Pos,PER
42,Alexis Ajinca,C,19.9
33,Ryan Anderson,PF,15.6
3,Omer Asik,C,15.5
8,Luke Babbitt,SF,11.1
30,Norris Cole,PG,12.6
0,Dante Cunningham,PF,8.9
23,Anthony Davis,PF,30.8
16,Toney Douglas,PG,11.2
1,Tyreke Evans,SG,17.7
32,Jimmer Fredette,PG,9.8
10,Eric Gordon,SG,12.7
11,Jrue Holiday,PG,18.8
24,Gal Mekel,PG,0.5
2,Darius Miller,SF,-5.1
20,Quincy Pondexter,SF,11.1
25,Austin Rivers,SG,10.1
15,John Salmons,SF,5.1
9,Russ Smith,PG,-16.6
2,Elliot Williams,SG,5.6
5,Jeff Withey,C,17.6
4,Nate Wolters,PG,3.5
