No.,Player,Pos,PER
4,Quincy Acy,PF,11.9
45,Cole Aldrich,C,18.1
21,Lou Amundson,PF,12.5
7,Carmelo Anthony,SF,21.5
77,Andrea Bargnani,C,16.6
3,Jose Calderon,PG,11.3
11,Samuel Dalembert,C,11.8
17,Cleanthony Early,SF,8.4
2,Langston Galloway,PG,12.3
5,Tim Hardaway,SG,12.1
0,Shane Larkin,PG,10.9
11,Ricky Ledo,SG,7.6
9,Pablo Prigioni,PG,12.7
21,Iman Shumpert,SG,11.9
1,Alexey Shved,SG,20.5
8,J.R. Smith,SG,11.5
14,Jason Smith,C,12.0
1,Amar'e Stoudemire,PF,19.5
42,Lance Thomas,PF,8.6
6,Travis Wear,SF,8.5
