No.,Player,Pos,PER
22,Jerrelle Benimon,PF,4.7
33,Trevor Booker,PF,15.3
3,Trey Burke,PG,12.6
10,Alec Burks,SG,13.0
19,Patrick Christopher,SG,-2.6
21,Ian Clark,SG,8.3
45,Jack Cooley,PF,11.4
8,Bryce Cotton,PG,14.5
40,Jeremy Evans,SF,20.5
11,Dante Exum,PG,5.7
15,Derrick Favors,PF,21.8
27,Rudy Gobert,C,21.6
20,Gordon Hayward,SF,20.2
5,Rodney Hood,SG,12.3
2,Joe Ingles,SF,9.6
17,Grant Jerrett,PF,13.6
23,Chris Johnson,SF,14.2
0,Enes Kanter,C,17.5
13,Elijah Millsap,SG,7.9
23,Toure' Murry,PG,-41.7
16,Steve Novak,SF,14.5
25,Elliot Williams,SG,14.4
