
Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Tom Van Arsdale,31,73,2570,13.9,.481,,.302,2.5,7.2,4.7,12.3,1.4,0.1,,,,3.1,1.0,4.1,.076,,0.2,-1.9,-1.7,0.2
2,John Drew,20,78,2289,21.4,.491,,.442,14.4,21.7,17.8,9.5,2.3,0.9,,,,4.2,3.0,7.1,.149,,3.4,-0.7,2.7,2.7
3,Dean Meminger,26,80,2177,13.9,.515,,.526,3.6,6.2,4.8,24.1,2.4,0.3,,,,2.5,1.4,3.9,.086,,0.5,0.0,0.5,1.4
4,Tom Henderson,23,79,2131,13.8,.451,,.270,2.2,7.8,4.9,21.3,2.2,0.2,,,,1.0,1.4,2.4,.054,,-0.4,-0.9,-1.2,0.4
5,Mike Sojourner,21,73,2129,14.1,.507,,.188,8.5,21.7,14.7,6.4,0.7,1.4,,,,2.7,1.9,4.7,.106,,-1.1,-0.1,-1.2,0.4
6,Dwight Jones,22,75,2086,14.4,.467,,.243,10.4,22.9,16.3,10.3,1.1,1.3,,,,1.7,2.2,3.9,.090,,-0.8,0.8,0.0,1.1
7,John Brown,23,73,1986,13.9,.513,,.365,8.4,13.3,10.7,9.5,1.2,0.4,,,,3.0,1.2,4.2,.101,,0.5,-0.4,0.1,1.0
8,Herm Gilliam,28,60,1393,16.2,.459,,.154,5.0,9.5,7.1,19.1,2.5,0.5,,,,1.4,1.1,2.5,.087,,1.0,-0.5,0.5,0.9
9,Jim Washington,31,38,905,10.9,.475,,.212,5.3,16.1,10.4,10.2,1.1,0.8,,,,0.7,0.7,1.3,.071,,-2.5,0.5,-1.9,0.0
10,Bob Kauffman,28,73,797,12.6,.478,,.322,7.8,15.0,11.1,14.1,1.1,0.3,,,,0.7,0.5,1.2,.071,,-1.1,-0.8,-1.9,0.0
11,John Wetzel,30,63,785,12.2,.509,,.377,4.0,10.6,7.1,13.0,2.9,0.5,,,,0.7,0.8,1.5,.093,,-1.4,0.9,-0.6,0.3
12,Lou Hudson,30,11,380,17.4,.484,,.253,3.4,9.0,6.0,17.3,1.5,0.3,,,,0.6,0.2,0.8,.100,,1.9,-2.3,-0.4,0.1
13,Clyde Lee,30,9,177,13.6,.527,,1.083,12.5,26.9,19.3,5.7,0.3,1.2,,,,0.3,0.2,0.4,.115,,-1.8,-0.9,-2.7,0.0
