
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
16,Tom Burleson,C,7-2,225,February 24 1952,6,North Carolina State University
44,Art Collins,SG,6-4,185,April 14 1954,R,St. Thomas University
7-42,Don Collins,SF,6-6,190,November 28 1958,R,Washington State University
14,Charlie Criss,PG,5-8,165,November 6 1948,3,New Mexico State University
22,John Drew,SF,6-6,205,September 30 1954,6,Gardner-Webb University
10,Steve Hawes,C,6-9,220,May 26 1950,6,University of Washington
24,Armond Hill,PG,6-4,190,March 31 1953,4,Princeton University
3,Eddie Johnson,SG,6-2,180,February 24 1955,3,Auburn University
1,Wes Matthews,PG,6-1,170,August 24 1959,R,University of Wisconsin
33,Jim McElroy,PG,6-3,190,October 4 1953,5,Central Michigan University
54,Tom McMillen,C,6-11,215,May 26 1952,5,University of Maryland
41,Sam Pellom,PF,6-9,225,October 2 1951,1,University at Buffalo State University of New York
30,Tree Rollins,C,7-1,235,June 16 1955,3,Clemson University
32,Dan Roundfield,PF,6-8,205,May 26 1953,5,Central Michigan University
11,Craig Shelton,SF,6-7,210,May 1 1957,R,Georgetown University
