
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Dominique Wilkins,30,80,79,36.1,10.1,20.9,.484,0.7,2.3,.322,9.4,18.6,.504,.502,5.7,7.1,.807,2.7,3.8,6.5,2.5,1.6,0.6,2.2,1.8,26.7
2,Moses Malone,34,81,81,33.8,6.4,13.3,.480,0.0,0.1,.111,6.4,13.2,.483,.481,6.1,7.8,.781,4.5,5.5,10.0,1.6,0.6,1.0,2.9,2.0,18.9
3,Doc Rivers,28,48,44,31.8,4.5,10.0,.454,0.5,1.4,.364,4.0,8.6,.469,.479,2.9,3.5,.812,1.0,3.2,4.2,5.5,2.4,0.5,2.0,3.1,12.5
4,Kevin Willis,27,81,51,28.1,5.2,9.9,.519,0.0,0.1,.286,5.1,9.9,.521,.520,2.1,3.0,.683,3.1,4.8,8.0,0.7,0.8,0.6,1.8,3.2,12.4
5,Spud Webb,26,82,46,26.6,3.6,7.5,.477,0.0,0.2,.053,3.6,7.3,.491,.478,2.0,2.3,.871,0.5,2.0,2.5,5.8,1.3,0.1,1.7,2.3,9.2
6,John Battle,27,60,48,24.6,4.6,9.1,.506,0.0,0.2,.154,4.6,8.9,.514,.507,1.7,2.3,.756,0.5,1.2,1.7,2.6,0.5,0.1,1.5,1.9,10.9
7,Cliff Levingston,29,75,5,22.7,2.9,5.7,.509,0.0,0.1,.200,2.9,5.6,.513,.511,1.1,1.6,.680,1.5,2.7,4.3,1.1,0.7,0.5,0.7,2.9,6.9
8,John Long,33,48,19,21.5,3.6,8.0,.453,0.2,0.6,.345,3.4,7.4,.462,.466,1.0,1.1,.836,0.5,1.2,1.7,1.8,0.9,0.1,1.6,1.4,8.4
9,Kenny Smith,24,33,5,20.4,3.0,6.2,.480,0.1,0.7,.167,2.8,5.5,.522,.490,1.7,2.0,.846,0.2,0.9,1.1,4.3,0.7,0.0,1.4,1.4,7.7
10,Antoine Carr,28,44,0,18.3,2.9,5.6,.516,0.0,0.1,.000,2.9,5.5,.525,.516,1.8,2.3,.775,1.1,2.3,3.4,1.2,0.3,0.8,1.2,2.9,7.6
11,Jon Koncak,26,54,28,18.1,1.4,2.4,.614,0.0,0.0,.000,1.4,2.3,.619,.614,0.8,1.5,.532,1.1,3.1,4.2,0.4,0.7,0.6,0.9,3.4,3.7
12,Wes Matthews,30,1,0,13.0,1.0,3.0,.333,0.0,1.0,.000,1.0,2.0,.500,.333,2.0,2.0,1.000,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0
13,Alexander Volkov,25,72,4,13.0,1.9,3.9,.482,0.2,0.5,.382,1.7,3.5,.496,.505,1.0,1.7,.583,0.7,0.9,1.7,1.2,0.5,0.3,0.7,2.3,5.0
14,Sedric Toney,27,32,0,8.9,0.9,2.3,.417,0.2,0.4,.538,0.7,1.8,.390,.465,0.7,0.8,.840,0.1,0.3,0.4,1.6,0.3,0.0,0.7,1.1,2.8
15,Roy Marble,23,24,0,6.8,0.7,2.4,.276,0.0,0.1,.000,0.7,2.3,.286,.276,0.8,1.2,.655,0.6,0.4,1.0,0.5,0.3,0.0,0.6,0.7,2.1
16,Mike Williams,26,5,0,2.8,0.0,0.8,.000,0.0,0.0,,0.0,0.8,.000,.000,0.0,0.0,,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.4,0.0
17,Haywoode Workman,24,6,0,2.7,0.3,0.5,.667,0.0,0.0,,0.3,0.5,.667,.667,0.3,0.3,1.000,0.0,0.5,0.5,0.3,0.5,0.0,0.0,0.5,1.0
18,Duane Ferrell,24,14,0,2.1,0.4,1.0,.357,0.0,0.1,.000,0.4,0.9,.385,.357,0.1,0.4,.333,0.2,0.3,0.5,0.1,0.1,0.0,0.1,0.2,0.9
