
Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Kevin Willis,29,81,2962,19.7,.535,.030,.297,14.7,30.9,22.6,8.6,1.2,1.1,12.5,22.0,,4.7,4.1,8.8,.143,,0.6,0.4,1.0,2.2
2,Stacey Augmon,23,82,2505,14.4,.526,.007,.356,7.9,9.9,8.9,11.4,2.4,0.6,14.8,20.1,,1.5,2.2,3.7,.071,,-0.3,0.6,0.3,1.5
3,Rumeal Robinson,25,81,2220,14.9,.503,.112,.296,3.0,7.6,5.2,29.3,2.3,0.7,16.4,23.3,,0.7,1.7,2.4,.053,,0.0,-1.1,-1.1,0.5
4,Blair Rasmussen,29,81,1968,11.6,.490,.032,.055,5.0,16.5,10.6,7.8,0.9,1.5,6.4,16.7,,1.3,1.6,3.0,.072,,-2.3,-0.2,-2.5,-0.2
5,Paul Graham,24,78,1718,14.7,.523,.207,.249,4.4,10.1,7.1,14.6,2.7,0.7,10.7,20.4,,1.9,1.7,3.6,.100,,0.6,-0.1,0.5,1.1
6,Dominique Wilkins,32,42,1601,22.2,.552,.140,.385,6.7,13.1,9.8,16.1,1.6,0.9,10.2,30.7,,3.8,1.3,5.1,.152,,4.2,-1.1,3.0,2.0
7,Duane Ferrell,26,66,1598,15.6,.576,.052,.345,6.8,7.2,7.0,8.6,1.5,0.6,12.0,21.4,,2.7,0.9,3.5,.107,,0.7,-1.5,-0.8,0.5
8,Alexander Volkov,27,77,1516,15.5,.504,.193,.348,7.1,11.6,9.3,23.2,2.1,1.2,13.5,20.6,,1.6,1.4,3.0,.096,,1.0,0.2,1.2,1.2
9,Jon Koncak,28,77,1489,7.4,.406,.042,.102,4.3,14.5,9.3,11.0,1.6,2.7,15.4,9.7,,-0.5,1.6,1.1,.034,,-4.4,2.6,-1.8,0.1
10,Maurice Cheeks,35,56,1086,12.6,.483,.024,.173,2.8,6.6,4.6,22.1,3.7,0.0,11.8,11.6,,1.0,1.1,2.1,.094,,-1.4,0.6,-0.8,0.3
11,Morlon Wiley,25,41,767,11.4,.511,.238,.188,3.0,7.2,5.1,27.6,2.8,0.2,23.1,12.1,,0.4,0.6,1.1,.067,,-1.8,-0.6,-2.3,-0.1
12,Rodney Monroe,23,38,313,8.8,.425,.188,.160,4.0,7.3,5.6,12.2,1.9,0.4,13.0,23.4,,-0.4,0.2,-0.2,-0.035,,-4.4,-2.5,-6.9,-0.4
13,Jeff Sanders,26,12,117,13.8,.480,.000,.200,8.0,15.8,11.8,10.9,2.1,1.5,9.3,19.0,,0.1,0.1,0.2,.086,,-2.3,0.0,-2.3,0.0
14,Travis Mays,23,2,32,8.6,.571,.429,.143,3.2,3.4,3.3,4.5,0.0,0.0,16.8,23.1,,0.0,0.0,0.0,.009,,-1.9,-5.6,-7.5,0.0
15,Gary Leonard,24,5,13,32.4,.727,.000,.333,24.0,16.7,20.4,13.5,3.8,0.0,12.7,25.0,,0.1,0.0,0.1,.355,,9.8,-0.1,9.8,0.0
