
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
2,Stacey Augmon,SG,6-8,205,August 1 1968,2,University of Nevada Las Vegas
5,John Bagley,PG,6-0,185,April 23 1960,10,Boston College
10,Mookie Blaylock,PG,6-0,180,March 20 1967,4,University of Oklahoma
34,Doug Edwards,PF,6-7,220,January 21 1971,R,Florida State University
3,Craig Ehlo,SG,6-6,180,August 11 1961,10,Washington State University
33,Duane Ferrell,SF,6-7,209,February 28 1965,5,Georgia Institute of Technology
15,Ricky Grace,PG,6-1,180,August 20 1967,R,University of Oklahoma
25,Paul Graham,SG,6-6,200,November 28 1967,2,Ohio University
31,Adam Keefe,PF,6-9,230,February 22 1970,1,Stanford University
32,Jon Koncak,C,7-0,250,May 17 1963,8,Southern Methodist University
28,Andrew Lang,C,6-11,245,June 28 1966,5,University of Arkansas
5,Danny Manning,PF,6-10,230,May 17 1966,5,University of Kansas
1,Ennis Whatley,PG,6-3,177,August 11 1962,7,University of Alabama
21,Dominique Wilkins,SF,6-7,200,January 12 1960,11,University of Georgia
42,Kevin Willis,PF,7-0,220,September 6 1962,8,Michigan State University
