
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Shareef Abdur-Rahim,26,81,81,3087,566,1183,.478,21,60,.350,545,1123,.485,.487,455,541,.841,175,502,677,242,87,38,212,240,1608
2,Jason Terry,25,81,81,3081,488,1141,.428,160,431,.371,328,710,.462,.498,259,292,.887,37,242,279,600,126,14,249,175,1395
3,Glenn Robinson,30,69,68,2591,539,1248,.432,90,263,.342,449,985,.456,.468,268,306,.876,86,371,457,205,91,26,248,183,1436
4,Theo Ratliff,29,81,81,2518,276,595,.464,0,0,,276,595,.464,.464,154,214,.720,154,453,607,73,56,262,137,271,706
5,Ira Newble,28,73,45,1931,231,467,.495,32,84,.381,199,383,.520,.529,70,90,.778,86,185,271,99,50,26,69,174,564
6,Dion Glover,24,76,42,1890,277,648,.427,56,158,.354,221,490,.451,.471,127,162,.784,62,220,282,141,71,15,108,146,737
7,Alan Henderson,30,82,3,1494,153,327,.468,0,2,.000,153,325,.471,.468,88,138,.638,156,242,398,41,33,32,61,168,394
8,Darvin Ham,29,75,1,926,71,159,.447,0,3,.000,71,156,.455,.447,38,79,.481,73,80,153,38,16,19,65,127,180
9,Dan Dickau,24,50,0,515,70,170,.412,22,61,.361,48,109,.440,.476,21,26,.808,9,34,43,85,14,2,53,66,183
10,Nazr Mohammed,25,35,0,445,67,159,.421,0,0,,67,159,.421,.421,26,41,.634,47,82,129,6,16,21,25,79,160
11,Mike Wilks,23,15,7,364,29,81,.358,6,17,.353,23,64,.359,.395,21,29,.724,9,32,41,42,16,1,16,38,85
12,Emanual Davis,34,24,1,340,32,88,.364,7,29,.241,25,59,.424,.403,17,22,.773,5,38,43,36,12,2,25,28,88
13,Jermaine Jackson,26,29,0,273,19,42,.452,0,1,.000,19,41,.463,.452,17,28,.607,9,23,32,35,10,3,15,27,55
14,Corey Benjamin,24,9,0,152,13,43,.302,2,13,.154,11,30,.367,.326,12,16,.750,10,21,31,10,1,2,6,20,40
15,Matt Maloney,31,14,0,103,8,25,.320,5,15,.333,3,10,.300,.420,3,5,.600,1,6,7,17,4,0,5,9,24
16,Amal McCaskill,29,11,0,70,4,17,.235,0,0,,4,17,.235,.235,3,4,.750,7,15,22,5,3,1,2,13,11
17,Chris Crawford,27,5,0,38,8,13,.615,1,3,.333,7,10,.700,.654,7,8,.875,3,4,7,1,2,3,2,7,24
18,Antonio Harvey,32,4,0,32,2,5,.400,0,0,,2,5,.400,.400,0,0,,1,5,6,0,1,4,3,7,4
19,Mikki Moore,27,5,0,31,5,12,.417,0,0,,5,12,.417,.417,8,10,.800,5,2,7,3,0,2,2,1,18
20,Brandon Williams,27,6,0,19,1,7,.143,0,1,.000,1,6,.167,.143,0,0,,2,0,2,0,2,0,3,4,2
21,Paul Shirley,25,2,0,5,0,4,.000,0,0,,0,4,.000,.000,0,0,,0,1,1,0,0,0,0,0,0
,Team Totals,,82,,19905,2859,6434,.444,402,1141,.352,2457,5293,.464,.476,1594,2011,.793,937,2558,3495,1679,611,473,1367,1783,7714
