
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Al Horford,26,74,74,2756,10.8,19.9,.543,0.1,0.1,.500,10.8,19.8,.544,2.5,3.9,.644,3.7,10.6,14.2,4.5,1.5,1.5,2.8,3.1,24.2,,110,102
2,Josh Smith,27,76,76,2683,10.6,22.8,.465,1.2,3.9,.303,9.4,18.9,.498,3.2,6.2,.517,2.6,9.8,12.3,6.2,1.8,2.6,4.4,3.4,25.6,,97,101
3,Jeff Teague,24,80,78,2628,8.7,19.2,.451,1.8,4.9,.359,6.9,14.3,.482,3.9,4.5,.881,0.5,3.1,3.5,11.4,2.3,0.6,4.5,3.6,23.0,,106,106
4,Kyle Korver,31,74,60,2259,6.4,13.8,.461,4.3,9.5,.457,2.0,4.3,.471,1.5,1.8,.859,0.5,6.2,6.7,3.3,1.6,0.8,1.6,3.9,18.6,,119,105
5,Devin Harris,29,58,34,1421,7.1,16.2,.438,2.8,8.4,.335,4.3,7.8,.549,4.1,5.6,.727,0.2,4.0,4.2,7.2,2.3,0.5,3.2,3.8,21.0,,108,106
6,DeShawn Stevenson,31,56,31,1158,4.4,11.7,.374,3.4,9.4,.364,1.0,2.4,.415,0.5,1.0,.522,0.8,4.7,5.5,2.3,1.3,0.3,1.0,3.1,12.7,,104,108
7,Zaza Pachulia,28,52,15,1134,5.2,11.0,.473,0.0,0.1,.000,5.2,10.9,.479,3.6,4.7,.757,6.0,9.3,15.4,3.6,1.6,0.5,3.2,5.8,14.0,,108,104
8,Lou Williams,26,39,9,1119,8.7,20.5,.422,3.3,9.1,.367,5.3,11.4,.466,4.9,5.6,.868,0.4,3.3,3.7,6.4,2.0,0.5,3.4,2.5,25.5,,106,107
9,Ivan Johnson,28,69,5,1035,9.3,17.8,.520,0.1,0.7,.077,9.2,17.2,.536,4.1,6.6,.618,3.8,9.5,13.3,2.3,2.8,0.7,3.6,6.6,22.6,,102,101
10,Anthony Tolliver,27,62,11,963,4.4,11.6,.380,2.4,7.2,.338,2.0,4.5,.446,2.4,2.7,.863,1.7,6.7,8.3,1.7,0.8,0.6,1.9,3.6,13.6,,102,107
11,John Jenkins,21,61,2,902,7.5,16.9,.446,3.0,7.9,.384,4.5,9.0,.500,3.4,4.0,.843,1.0,4.4,5.4,3.2,0.7,0.6,2.3,2.1,21.5,,109,109
12,Dahntay Jones,32,28,4,381,4.4,11.2,.390,0.4,1.6,.250,3.9,9.5,.414,2.9,4.2,.677,1.5,2.7,4.2,2.7,1.6,0.1,2.2,6.3,12.0,,92,108
13,Mike Scott,24,40,1,376,9.6,20.3,.476,0.0,0.1,.000,9.6,20.1,.479,5.9,7.7,.768,5.4,9.8,15.2,1.7,0.6,0.3,2.9,4.4,25.2,,106,106
14,Johan Petro,27,31,8,352,7.1,16.2,.436,0.1,0.6,.250,6.9,15.6,.443,1.6,1.8,.917,4.9,11.6,16.5,2.4,1.5,1.3,3.5,7.1,15.9,,92,101
15,Anthony Morrow,27,24,1,301,8.1,19.1,.423,2.6,6.5,.395,5.5,12.6,.438,2.8,3.1,.889,1.7,2.8,4.5,1.5,2.1,0.2,0.7,5.7,21.5,,109,107
16,Shelvin Mack,22,20,1,268,7.9,16.2,.488,2.7,6.8,.400,5.2,9.5,.551,1.5,2.7,.571,0.0,4.6,4.6,8.5,1.7,0.0,4.6,5.4,20.1,,102,107
17,Jannero Pargo,33,7,0,113,6.0,17.4,.342,3.2,9.2,.350,2.8,8.3,.333,0.9,0.9,1.000,0.5,2.8,3.2,8.7,1.4,0.0,2.3,3.7,16.0,,99,109
18,Jeremy Tyler,21,1,0,5,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,31.1,31.1,0.0,0.0,0.0,0.0,0.0,0.0,,,94
