
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Kyle Korver,33,75,75,2418,4.3,8.9,.487,3.3,6.7,.492,1.1,2.2,.470,1.6,1.8,.898,0.2,4.3,4.5,2.9,0.8,0.6,1.6,2.1,13.6
2,Paul Millsap,29,73,73,2390,6.7,14.0,.476,1.2,3.3,.356,5.5,10.8,.513,3.8,5.1,.757,2.1,6.5,8.6,3.4,2.0,1.0,2.5,3.0,18.3
3,Al Horford,28,76,76,2318,8.1,15.0,.538,0.2,0.6,.306,7.9,14.4,.547,1.7,2.2,.759,2.0,6.4,8.4,3.8,1.1,1.5,1.6,1.9,18.0
4,Jeff Teague,26,73,72,2228,6.6,14.3,.460,1.1,3.3,.343,5.4,11.0,.496,4.4,5.2,.862,0.5,2.5,3.0,8.3,2.0,0.5,3.3,2.2,18.8
5,DeMarre Carroll,28,70,69,2189,5.2,10.7,.487,2.0,5.0,.395,3.3,5.7,.567,2.1,3.0,.702,1.6,4.5,6.1,1.9,1.5,0.3,1.2,2.5,14.5
6,Dennis Schroder,21,77,10,1516,6.7,15.8,.427,1.2,3.5,.351,5.5,12.3,.449,3.5,4.3,.827,0.7,3.2,3.9,7.5,1.2,0.1,3.6,3.0,18.2
7,Kent Bazemore,25,75,10,1324,3.8,9.0,.426,1.3,3.6,.364,2.5,5.4,.467,1.6,2.7,.600,0.6,5.5,6.0,2.1,1.4,0.9,2.0,3.5,10.6
8,Mike Scott,26,68,0,1123,6.4,14.5,.444,2.1,6.2,.344,4.3,8.4,.517,2.0,2.5,.792,1.4,4.9,6.4,2.4,0.8,0.1,1.3,2.7,17.0
9,Pero Antic,32,63,3,1037,3.7,10.3,.365,1.8,6.0,.301,1.9,4.3,.455,3.1,4.3,.715,2.0,4.5,6.6,1.7,0.6,0.5,1.7,4.6,12.4
10,Thabo Sefolosha,30,52,7,976,3.8,9.2,.418,0.9,2.9,.321,2.9,6.3,.462,1.7,2.1,.776,2.0,6.3,8.2,2.8,2.0,0.8,1.4,2.5,10.3
11,Shelvin Mack,24,55,0,833,5.1,12.6,.401,1.7,5.5,.315,3.3,7.1,.467,1.1,1.3,.806,0.3,3.1,3.4,6.7,1.3,0.1,2.1,1.4,12.9
12,Mike Muscala,23,40,8,502,6.0,10.8,.550,0.6,1.6,.409,5.3,9.3,.574,1.6,1.8,.880,3.7,4.8,8.5,1.8,1.1,1.4,1.5,3.7,14.1
13,Elton Brand,35,36,4,486,3.1,7.0,.442,0.0,0.1,.000,3.1,7.0,.447,0.9,1.7,.522,2.1,5.3,7.4,1.6,1.3,1.9,1.3,4.0,7.1
14,John Jenkins,23,24,3,297,5.9,12.0,.495,2.5,6.3,.404,3.4,5.7,.596,1.9,2.3,.842,0.2,4.5,4.7,1.6,1.2,0.0,1.0,1.8,16.4
15,Austin Daye,26,8,0,76,4.7,12.3,.385,2.4,6.6,.357,2.4,5.7,.417,0.5,0.9,.500,1.9,4.7,6.6,3.8,1.9,0.9,2.4,4.3,12.3
16,Adreian Payne,23,3,0,19,3.8,13.3,.286,0.0,1.9,.000,3.8,11.4,.333,1.9,3.8,.500,1.9,5.7,7.6,0.0,1.9,0.0,0.0,7.6,9.5
