
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
3,Fred Carter,SG,6-3,185,February 14 1945,2,Mount St. Mary's University
45,Phil Chenier,SG,6-3,180,October 30 1950,R,University of California
21,Archie Clark,PG,6-2,175,July 15 1941,5,University of Minnesota
35,Terry Driscoll,PF,6-7,215,August 28 1947,1,Boston College
25,Gus Johnson,PF,6-6,230,December 13 1938,8,University of Idaho
22,Kevin Loughery,SG,6-3,190,March 28 1940,9,St. John's University
13,Stan Love,PF,6-9,215,April 9 1949,R,University of Oregon
24,Jack Marin,SF,6-7,200,October 12 1944,5,Duke University
10,Earl Monroe,PG,6-3,185,November 21 1944,4,Winston-Salem State University
40,Dorie Murrey,PF,6-8,215,September 7 1943,5,University of Detroit Mercy
33,Rich Rinaldi,SG,6-3,195,August 3 1949,R,Saint Peter's College
6,Mike Riordan,SF,6-4,200,July 9 1945,3,Providence College
9,Dave Stallworth,SF,6-7,200,December 20 1941,4,Wichita State University
12,John Tresvant,PF,6-7,215,November 6 1939,7,Seattle University
41,Wes Unseld,C,6-7,245,March 14 1946,3,University of Louisville
11,Gary Zeller,SG,6-3,205,November 20 1947,1,Drake University
