
Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Mike Riordan,27,82,3466,15.6,.540,,.171,,,5.5,16.6,,,,,,6.8,4.2,11.1,.154,,,,,
2,Elvin Hayes,27,81,3347,17.5,.477,,.270,,,16.5,5.3,,,,,,1.7,5.8,7.6,.109,,,,,
3,Wes Unseld,26,79,3085,18.1,.523,,.248,,,19.1,14.2,,,,,,3.9,6.8,10.7,.166,,,,,
4,Phil Chenier,22,71,2776,15.2,.486,,.183,,,4.9,15.3,,,,,,2.3,3.1,5.5,.095,,,,,
5,Archie Clark,31,39,1477,18.3,.545,,.230,,,4.1,25.8,,,,,,3.6,2.0,5.6,.181,,,,,
6,Kevin Porter,22,71,1217,12.4,.476,,.224,,,2.8,25.7,,,,,,0.7,1.6,2.3,.089,,,,,
7,Dave Stallworth,31,73,1217,11.7,.457,,.232,,,9.1,11.8,,,,,,0.0,1.7,1.7,.065,,,,,
8,Stan Love,23,72,995,14.0,.478,,.229,,,14.1,6.3,,,,,,0.5,1.6,2.1,.101,,,,,
9,Rich Rinaldi,23,33,646,11.4,.448,,.225,,,4.9,9.9,,,,,,-0.2,0.7,0.4,.033,,,,,
10,Flynn Robinson,31,38,583,13.8,.482,,.119,,,4.4,18.3,,,,,,0.4,0.7,1.1,.091,,,,,
11,John Tresvant,33,55,541,13.3,.507,,.324,,,13.5,7.9,,,,,,0.6,0.9,1.5,.130,,,,,
12,Mike Davis,26,13,283,10.9,.477,,.212,,,5.8,9.0,,,,,,0.1,0.3,0.4,.073,,,,,
13,Tom Patterson,24,23,92,15.5,.491,,.327,,,11.2,4.7,,,,,,0.1,0.1,0.2,.116,,,,,
14,Terry Driscoll,25,1,5,1.9,.000,,.000,,,28.1,0.0,,,,,,0.0,0.0,0.0,-0.147,,,,,
