
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
7,Tiny Archibald,PG,6-1,150,September 2 1948,7,University of Texas at El Paso
34,Dennis Awtrey,C,6-10,235,February 22 1948,8,Santa Clara University
35,Tom Barker,C,6-11,225,March 11 1955,1,University of Hawaii
27,Marvin Barnes,PF,6-8,210,July 27 1952,4,Providence College
12,Don Chaney,SG,6-5,210,March 22 1946,10,University of Houston
18,Dave Cowens,C,6-9,230,October 25 1948,8,Florida State University
42,Chris Ford,SG,6-5,190,January 11 1949,6,Villanova University
32,Jeff Judkins,SF,6-6,185,March 23 1956,R,University of Utah
35,Billy Knight,SF,6-6,195,June 9 1952,4,University of Pittsburgh
30,Cedric Maxwell,SF,6-8,205,November 21 1955,1,University of North Carolina at Charlotte
11,Bob McAdoo,C,6-9,210,September 25 1951,6,University of North Carolina
53,Rick Robey,C,6-11,230,January 30 1956,R,University of Kentucky
41,Curtis Rowe,PF,6-7,225,July 2 1949,7,University of California Los Angeles
45,Frankie Sanders,SF,6-6,200,January 23 1957,R,Southern University and A&amp;M College
27,Kevin Stacom,SG,6-3,185,September 4 1951,4,Providence College
43,Earl Tatum,SG,6-5,185,July 26 1953,2,Marquette University
10,Jo Jo White,PG,6-3,190,November 16 1946,9,University of Kansas
52,Earl Williams,C,6-7,230,March 24 1951,3,Winston-Salem State University
