
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Larry Bird,27,79,77,3028,758,1542,.492,18,73,.247,740,1469,.504,.497,374,421,.888,181,615,796,520,144,69,237,197,1908
2,Robert Parish,30,80,79,2867,623,1140,.546,0,0,,623,1140,.546,.546,274,368,.745,243,614,857,139,55,116,184,266,1520
3,Dennis Johnson,29,80,78,2665,384,878,.437,4,32,.125,380,846,.449,.440,281,330,.852,87,193,280,338,93,57,172,251,1053
4,Kevin McHale,26,82,10,2577,587,1055,.556,1,3,.333,586,1052,.557,.557,336,439,.765,208,402,610,104,23,126,150,243,1511
5,Cedric Maxwell,28,80,78,2502,317,596,.532,1,6,.167,316,590,.536,.533,320,425,.753,201,260,461,205,63,24,203,224,955
6,Gerald Henderson,28,78,78,2088,376,718,.524,20,57,.351,356,661,.539,.538,136,177,.768,68,79,147,300,117,14,161,209,908
7,Quinn Buckner,29,79,0,1249,138,323,.427,0,6,.000,138,317,.435,.427,48,74,.649,41,96,137,214,84,3,100,187,324
8,Danny Ainge,24,71,3,1154,166,361,.460,6,22,.273,160,339,.472,.468,46,56,.821,29,87,116,162,41,4,70,143,384
9,Scott Wedman,31,68,5,916,148,333,.444,2,13,.154,146,320,.456,.447,29,35,.829,41,98,139,67,27,7,43,107,327
10,M.L. Carr,33,60,1,585,70,171,.409,3,15,.200,67,156,.429,.418,42,48,.875,26,49,75,49,17,4,46,67,185
11,Greg Kite,22,35,1,197,30,66,.455,0,0,,30,66,.455,.455,5,16,.313,27,35,62,7,1,5,20,42,65
12,Carlos Clark,23,31,0,127,19,52,.365,0,2,.000,19,50,.380,.365,16,18,.889,7,10,17,17,8,1,12,13,54
,Team Totals,,82,,19955,3616,7235,.500,55,229,.240,3561,7006,.508,.504,1907,2407,.792,1159,2538,3697,2122,673,430,1420,1949,9194
