
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Larry Bird,29,82,81,3113,796,1606,.496,82,194,.423,714,1412,.506,.521,441,492,.896,190,615,805,557,166,51,266,182,2115
2,Dennis Johnson,31,78,78,2732,482,1060,.455,6,42,.143,476,1018,.468,.458,243,297,.818,69,199,268,456,110,35,173,206,1213
3,Robert Parish,32,81,80,2567,530,966,.549,0,0,,530,966,.549,.549,245,335,.731,246,524,770,145,65,116,187,215,1305
4,Danny Ainge,26,80,78,2407,353,701,.504,26,73,.356,327,628,.521,.522,123,136,.904,47,188,235,405,94,7,129,204,855
5,Kevin McHale,28,68,62,2397,561,978,.574,0,0,,561,978,.574,.574,326,420,.776,171,380,551,181,29,134,149,192,1448
6,Jerry Sichting,29,82,7,1596,235,412,.570,6,16,.375,229,396,.578,.578,61,66,.924,27,77,104,188,50,0,73,118,537
7,Bill Walton,33,80,2,1546,231,411,.562,0,0,,231,411,.562,.562,144,202,.713,136,408,544,165,38,106,151,210,606
8,Scott Wedman,33,79,19,1402,286,605,.473,17,48,.354,269,557,.483,.487,45,68,.662,66,126,192,83,38,22,54,127,634
9,Rick Carlisle,26,77,1,760,92,189,.487,0,10,.000,92,179,.514,.487,15,23,.652,22,55,77,104,19,4,50,92,199
10,Greg Kite,24,64,2,464,34,91,.374,0,1,.000,34,90,.378,.374,15,39,.385,35,93,128,17,3,28,32,81,83
11,Sam Vincent,22,57,0,432,59,162,.364,1,4,.250,58,158,.367,.367,65,70,.929,11,37,48,69,17,4,49,59,184
12,David Thirdkill,25,49,0,385,54,110,.491,0,1,.000,54,109,.495,.491,55,88,.625,27,43,70,15,11,3,19,55,163
13,Sly Williams,28,6,0,54,5,21,.238,0,4,.000,5,17,.294,.238,7,12,.583,7,8,15,2,1,1,7,15,17
,Team Totals,,82,,19855,3718,7312,.508,138,393,.351,3580,6919,.517,.518,1785,2248,.794,1054,2753,3807,2387,641,511,1360,1756,9359
