
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
44,Danny Ainge,SG,6-4,175,March 17 1959,5,Brigham Young University
33,Larry Bird,SF,6-9,220,December 7 1956,7,Indiana State University
34,Rick Carlisle,SG,6-5,210,October 27 1959,2,University of Virginia
20,Darren Daye,SF,6-8,220,November 30 1960,3,University of California Los Angeles
43,Conner Henry,SG,6-7,195,July 21 1963,R,University of California Santa Barbara
3,Dennis Johnson,PG,6-4,185,September 18 1954,10,Pepperdine University
50,Greg Kite,C,6-11,250,August 5 1961,3,Brigham Young University
32,Kevin McHale,PF,6-10,210,December 19 1957,6,University of Minnesota
00,Robert Parish,C,7-0,230,August 30 1953,10,Centenary College of Louisiana
31,Fred Roberts,PF,6-10,218,August 14 1960,3,Brigham Young University
12,Jerry Sichting,PG,6-1,168,November 29 1956,6,Purdue University
45,David Thirdkill,SF,6-7,195,April 12 1960,4,Bradley University
7,Andre Turner,PG,5-11,160,December 13 1964,R,University of Memphis
11,Sam Vincent,PG,6-2,185,May 18 1963,1,Michigan State University
5,Bill Walton,C,6-11,210,November 5 1952,9,University of California Los Angeles
8,Scott Wedman,SF,6-7,215,July 29 1952,12,University of Colorado
