
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Rick Fox,26,81,81,2588,5.9,12.9,.454,1.4,3.8,.364,4.5,9.1,.491,2.7,3.5,.772,2.2,4.1,6.3,5.1,1.6,0.6,3.0,4.0,15.8
2,Dana Barros,28,80,25,2328,5.9,12.5,.470,2.3,5.7,.408,3.5,6.8,.523,2.0,2.3,.884,0.3,2.6,3.0,4.7,0.9,0.0,1.9,1.8,16.1
3,David Wesley,25,82,53,2104,5.8,12.6,.459,2.0,4.7,.426,3.8,7.9,.478,3.7,4.9,.753,1.2,3.4,4.5,6.7,1.7,0.2,2.7,3.5,17.3
4,Dino Radja,28,53,52,1984,7.7,15.5,.500,0.0,0.0,,7.7,15.5,.500,3.5,5.0,.695,2.1,7.4,9.5,1.5,0.9,1.5,2.1,2.9,18.9
5,Greg Minor,24,78,47,1761,6.5,13.1,.500,0.1,0.6,.259,6.4,12.5,.511,2.0,2.7,.762,1.9,3.4,5.3,3.0,0.7,0.2,1.6,3.3,15.3
6,Todd Day,26,71,12,1636,6.1,16.4,.371,2.1,6.1,.343,4.0,10.3,.388,4.4,5.7,.766,1.4,3.1,4.4,2.2,1.7,1.1,2.2,4.4,18.7
7,Dee Brown,27,65,23,1591,5.6,13.9,.399,1.5,5.0,.309,4.0,9.0,.449,3.1,3.6,.854,0.8,2.3,3.1,3.3,1.8,0.3,1.7,2.7,15.7
8,Eric Williams,23,64,6,1470,5.9,13.4,.441,0.1,0.2,.300,5.8,13.1,.444,4.9,7.3,.671,2.3,3.1,5.3,1.7,1.4,0.3,2.2,3.6,16.8
9,Eric Montross,24,61,59,1432,4.9,8.7,.566,0.0,0.0,,4.9,8.7,.566,1.3,3.3,.376,3.0,5.9,8.8,1.1,0.5,0.7,2.1,4.6,11.1
10,Pervis Ellison,28,69,29,1431,3.6,7.4,.492,0.0,0.0,,3.6,7.4,.492,1.9,2.9,.641,3.8,7.5,11.3,1.6,1.0,2.5,2.1,5.2,9.2
11,Alton Lister,37,57,14,647,2.6,5.3,.490,0.0,0.0,,2.6,5.3,.490,2.2,3.4,.629,3.3,10.6,14.0,0.8,0.3,2.2,2.4,6.7,7.4
12,Junior Burrough,23,61,3,495,4.7,12.4,.376,0.0,0.0,,4.7,12.4,.376,4.4,6.8,.656,3.3,4.7,7.9,1.1,1.1,0.7,2.9,5.4,13.7
13,Sherman Douglas,29,10,4,234,5.5,12.9,.429,0.2,1.1,.143,5.4,11.8,.455,3.8,6.2,.625,0.9,2.6,3.5,6.0,0.3,0.0,4.5,2.5,15.1
14,Doug Smith,26,17,2,92,5.5,15.3,.359,0.0,0.0,,5.5,15.3,.359,2.0,3.1,.625,4.7,3.9,8.6,1.6,1.2,0.0,4.3,8.2,12.9
15,Thomas Hamilton,20,11,0,70,4.6,15.9,.290,0.0,0.0,,4.6,15.9,.290,3.6,9.3,.389,5.1,6.2,11.3,0.5,0.0,4.6,4.6,6.2,12.9
16,Todd Mundt,25,9,0,33,3.3,9.8,.333,0.0,0.0,,3.3,9.8,.333,0.0,0.0,,1.1,2.2,3.3,1.1,1.1,1.1,0.0,6.5,6.5
17,Charles Claxton,25,3,0,7,5.1,10.3,.500,0.0,0.0,,5.1,10.3,.500,0.0,10.3,.000,10.3,0.0,10.3,0.0,0.0,5.1,5.1,20.6,10.3
18,Larry Sykes,22,1,0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,18.0,18.0,36.0,0.0,0.0,0.0,18.0,0.0,0.0
