
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Avery Bradley,24,77,77,2428,9.0,20.9,.429,2.6,7.3,.352,6.4,13.6,.470,1.6,2.1,.790,0.9,4.0,5.0,2.8,1.7,0.3,2.2,3.7,22.1,,99,107
2,Evan Turner,26,82,57,2260,7.1,16.5,.429,0.7,2.6,.277,6.4,13.9,.458,2.3,3.1,.752,0.9,8.4,9.2,9.9,1.8,0.4,4.4,4.0,17.3,,96,104
3,Brandon Bass,29,82,43,1929,8.9,17.7,.504,0.2,0.8,.281,8.7,16.9,.515,4.4,5.6,.790,3.6,6.7,10.3,2.7,1.1,0.8,2.2,3.6,22.5,,112,106
4,Marcus Smart,20,67,38,1808,4.8,13.2,.367,2.5,7.5,.335,2.3,5.7,.410,2.3,3.5,.646,1.7,4.5,6.1,5.8,2.7,0.5,2.5,4.9,14.5,,101,104
5,Tyler Zeller,25,82,59,1731,9.8,17.9,.549,0.0,0.0,,9.8,17.9,.549,4.4,5.4,.823,4.2,9.2,13.5,3.3,0.5,1.5,2.2,5.9,24.1,,119,105
6,Jared Sullinger,22,58,49,1566,9.9,22.6,.439,1.7,5.9,.283,8.3,16.8,.494,3.1,4.1,.744,4.7,9.4,14.1,4.3,1.4,1.3,2.5,4.9,24.6,,106,103
7,Kelly Olynyk,23,64,13,1423,8.8,18.6,.475,2.1,6.2,.349,6.7,12.4,.538,3.3,4.8,.684,3.2,7.4,10.7,3.8,2.3,1.4,3.4,7.5,23.1,,105,102
8,Jae Crowder,24,57,17,1382,7.1,17.0,.418,1.7,6.2,.282,5.4,10.8,.495,3.6,4.7,.762,2.2,7.4,9.6,3.0,2.1,0.7,1.4,4.0,19.5,,108,104
9,Jeff Green,28,33,33,1093,9.4,21.8,.434,2.2,7.1,.305,7.3,14.7,.495,5.5,6.6,.840,1.0,5.5,6.5,2.4,1.2,0.6,2.6,3.0,26.6,,104,107
10,Rajon Rondo,28,22,22,699,5.8,14.3,.405,0.6,2.3,.250,5.2,12.0,.435,0.9,2.6,.333,1.8,10.0,11.8,17.0,2.7,0.2,5.4,3.0,13.0,,95,101
11,Marcus Thornton,27,39,0,640,9.9,23.9,.416,4.1,9.7,.419,5.9,14.2,.414,3.3,4.0,.824,1.5,4.2,5.7,2.7,1.6,0.5,1.7,2.7,27.2,,107,107
12,Phil Pressey,23,50,0,600,5.3,14.5,.368,1.3,5.4,.246,4.0,9.1,.440,2.8,4.1,.673,1.1,5.6,6.7,9.8,2.5,0.5,3.4,4.5,14.8,,97,104
13,Isaiah Thomas,25,21,0,545,10.8,26.2,.411,4.4,12.8,.345,6.3,13.4,.473,10.8,12.6,.861,0.6,3.4,4.0,10.4,1.1,0.0,5.0,4.1,36.8,,114,109
14,Jonas Jerebko,27,29,0,527,7.4,17.2,.431,2.5,6.1,.406,4.9,11.1,.444,2.4,2.9,.833,4.4,8.9,13.3,2.9,1.8,0.7,1.7,5.5,19.7,,112,103
15,James Young,19,31,0,332,5.4,15.4,.353,2.6,10.0,.258,2.9,5.4,.528,2.4,4.4,.552,1.4,5.0,6.3,2.0,1.2,0.3,0.8,3.3,15.8,,99,107
16,Gerald Wallace,32,32,0,286,2.5,6.0,.412,0.2,0.5,.333,2.3,5.4,.419,1.1,2.6,.400,3.0,7.0,10.0,1.9,2.6,0.7,3.2,3.3,6.1,,79,103
17,Tayshaun Prince,34,9,0,198,8.3,14.9,.559,1.3,2.0,.625,7.1,12.9,.549,1.3,1.5,.833,1.5,6.1,7.6,4.6,1.3,0.5,1.0,1.8,19.2,,126,107
18,Luigi Datome,27,18,1,192,9.9,20.1,.494,4.4,9.4,.472,5.5,10.7,.512,0.3,0.3,1.000,0.5,6.0,6.5,1.8,0.3,1.8,1.8,3.7,24.5,,110,107
19,Jameer Nelson,32,6,1,121,3.7,17.0,.220,2.1,10.3,.200,1.7,6.6,.250,2.5,3.7,.667,1.2,5.8,7.0,13.7,2.9,0.0,3.7,5.4,12.0,,85,104
20,Brandan Wright,27,8,0,86,7.0,12.2,.571,0.0,0.0,,7.0,12.2,.571,1.2,2.3,.500,4.1,5.8,9.9,4.7,0.6,2.9,2.9,2.3,15.1,,110,105
21,Shavlik Randolph,31,5,0,25,6.0,20.0,.300,0.0,2.0,.000,6.0,18.0,.333,2.0,4.0,.500,8.0,16.0,24.0,2.0,2.0,2.0,2.0,6.0,14.0,,83,97
22,Dwight Powell,23,5,0,9,22.3,27.8,.800,0.0,0.0,,22.3,27.8,.800,5.6,11.1,.500,0.0,5.6,5.6,0.0,11.1,0.0,11.1,5.6,50.1,,94,86
