
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Avery Bradley,24,4,4,33.3,4.8,12.5,.380,1.3,4.8,.263,3.5,7.8,.452,.430,1.5,1.8,.857,0.8,3.0,3.8,0.8,0.8,0.0,0.8,3.3,12.3
2,Isaiah Thomas,25,4,0,29.8,4.5,13.5,.333,0.8,4.5,.167,3.8,9.0,.417,.361,7.8,8.0,.969,0.3,2.8,3.0,7.0,0.8,0.0,3.5,2.5,17.5
3,Evan Turner,26,4,4,29.5,4.0,11.0,.364,0.5,1.0,.500,3.5,10.0,.350,.386,2.0,2.3,.889,0.5,6.8,7.3,4.8,0.8,0.0,2.3,2.8,10.5
4,Jae Crowder,24,4,1,25.0,3.8,7.3,.517,0.8,2.5,.300,3.0,4.8,.632,.569,2.5,3.3,.769,2.0,3.0,5.0,2.0,1.0,0.8,1.3,3.5,10.8
5,Tyler Zeller,25,4,4,22.5,3.8,7.3,.517,0.0,0.0,,3.8,7.3,.517,.517,1.0,1.3,.800,0.5,4.0,4.5,0.5,0.5,0.3,1.0,1.3,8.5
6,Marcus Smart,20,4,3,22.5,3.5,7.3,.483,0.8,3.3,.231,2.8,4.0,.688,.534,2.0,3.8,.533,1.3,1.5,2.8,1.3,0.3,0.3,1.0,3.0,9.8
7,Brandon Bass,29,4,4,21.5,1.8,5.0,.350,0.0,0.0,,1.8,5.0,.350,.350,1.5,2.5,.600,0.8,1.3,2.0,2.5,0.3,0.8,0.8,1.0,5.0
8,Jared Sullinger,22,4,0,20.0,5.3,9.5,.553,0.8,2.3,.333,4.5,7.3,.621,.592,1.0,1.8,.571,2.3,4.8,7.0,0.3,0.0,0.8,1.3,3.0,12.3
9,Jonas Jerebko,27,4,0,17.0,1.3,3.8,.333,0.0,1.0,.000,1.3,2.8,.455,.333,0.3,0.5,.500,1.0,2.5,3.5,0.3,0.5,0.3,0.8,2.3,2.8
10,Kelly Olynyk,23,4,0,13.3,1.8,3.3,.538,0.8,1.5,.500,1.0,1.8,.571,.654,0.3,0.5,.500,0.5,0.8,1.3,0.5,0.5,0.5,1.0,3.0,4.5
11,Luigi Datome,27,3,0,4.7,0.7,2.0,.333,0.0,0.7,.000,0.7,1.3,.500,.333,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,1.3,1.3
12,Gerald Wallace,32,1,0,4.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phil Pressey,23,2,0,2.5,0.0,1.5,.000,0.0,0.5,.000,0.0,1.0,.000,.000,0.0,0.0,,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
