
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Avery Bradley,24,4,4,133,19,50,.380,5,19,.263,14,31,.452,.430,6,7,.857,3,12,15,3,3,0,3,13,49
2,Isaiah Thomas,25,4,0,119,18,54,.333,3,18,.167,15,36,.417,.361,31,32,.969,1,11,12,28,3,0,14,10,70
3,Evan Turner,26,4,4,118,16,44,.364,2,4,.500,14,40,.350,.386,8,9,.889,2,27,29,19,3,0,9,11,42
4,Jae Crowder,24,4,1,100,15,29,.517,3,10,.300,12,19,.632,.569,10,13,.769,8,12,20,8,4,3,5,14,43
5,Tyler Zeller,25,4,4,90,15,29,.517,0,0,,15,29,.517,.517,4,5,.800,2,16,18,2,2,1,4,5,34
6,Marcus Smart,20,4,3,90,14,29,.483,3,13,.231,11,16,.688,.534,8,15,.533,5,6,11,5,1,1,4,12,39
7,Brandon Bass,29,4,4,86,7,20,.350,0,0,,7,20,.350,.350,6,10,.600,3,5,8,10,1,3,3,4,20
8,Jared Sullinger,22,4,0,80,21,38,.553,3,9,.333,18,29,.621,.592,4,7,.571,9,19,28,1,0,3,5,12,49
9,Jonas Jerebko,27,4,0,68,5,15,.333,0,4,.000,5,11,.455,.333,1,2,.500,4,10,14,1,2,1,3,9,11
10,Kelly Olynyk,23,4,0,53,7,13,.538,3,6,.500,4,7,.571,.654,1,2,.500,2,3,5,2,2,2,4,12,18
11,Luigi Datome,27,3,0,14,2,6,.333,0,2,.000,2,4,.500,.333,0,0,,0,1,1,1,0,0,0,4,4
12,Phil Pressey,23,2,0,5,0,3,.000,0,1,.000,0,2,.000,.000,0,0,,1,0,1,0,0,1,0,1,0
13,Gerald Wallace,32,1,0,4,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,1,1,0,0,0,0,0,0
