
,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Rk,Player,Age,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16 &lt;3,3P,2P,0-3,3-10,10-16,16 &lt;3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
1,Avery Bradley,24,77,2428,.429,17.3,.652,.168,.050,.044,.389,.348,.470,.612,.392,.356,.431,.352,.661,.016,14,.895,.358,.389,2,0
2,Evan Turner,26,82,2260,.429,12.3,.840,.248,.126,.263,.204,.160,.458,.584,.309,.449,.408,.277,.244,.032,19,.818,.319,.342,0,0
3,Brandon Bass,29,82,1929,.504,9.6,.953,.366,.132,.183,.272,.047,.515,.684,.322,.400,.457,.281,.690,.149,94,1.000,.875,.321,0,0
4,Marcus Smart,20,67,1808,.367,18.0,.430,.176,.090,.071,.092,.570,.410,.560,.256,.382,.295,.335,.393,.015,6,.901,.176,.396,4,0
5,Tyler Zeller,25,82,1731,.549,5.8,1.000,.460,.346,.057,.134,.000,.549,.632,.463,.600,.482,,.791,.063,34,,,,0,0
6,Jared Sullinger,22,58,1566,.439,12.4,.740,.268,.222,.109,.140,.260,.494,.626,.420,.351,.475,.283,.521,.017,12,.981,.054,.400,1,0
7,Kelly Olynyk,23,64,1423,.475,12.7,.669,.356,.131,.076,.106,.331,.538,.681,.348,.475,.339,.349,.642,.044,23,.951,.109,.368,1,0
8,Jae Crowder,24,57,1382,.418,14.8,.638,.292,.075,.100,.173,.362,.495,.613,.371,.468,.358,.282,.709,.034,13,.979,.229,.231,2,0
9,Jeff Green,28,33,1093,.434,13.8,.676,.232,.200,.116,.128,.324,.495,.655,.474,.364,.361,.305,.503,.061,27,.894,.214,.394,2,0
10,Rajon Rondo,28,22,699,.405,11.7,.840,.315,.185,.070,.270,.160,.435,.571,.324,.429,.352,.250,.219,.005,1,.625,.031,.000,0,0
11,Marcus Thornton,27,39,640,.416,15.8,.593,.230,.131,.046,.187,.407,.414,.500,.450,.071,.368,.419,.480,.000,0,.865,.145,.500,1,0
12,Phil Pressey,23,50,600,.368,13.9,.626,.322,.126,.057,.121,.374,.440,.500,.364,.300,.429,.246,.146,.000,0,.500,.046,.000,1,0
13,Isaiah Thomas,25,21,545,.411,15.6,.512,.305,.074,.039,.095,.488,.473,.563,.190,.364,.444,.345,.290,.000,0,.583,.050,.571,1,0
14,Jonas Jerebko,27,29,527,.431,12.9,.646,.309,.182,.044,.110,.354,.444,.714,.121,.125,.350,.406,.692,.055,9,1.000,.297,.579,0,0
15,James Young,19,31,332,.353,20.3,.353,.098,.049,.020,.186,.647,.528,.800,.400,.500,.421,.258,.842,.020,2,.941,.197,.154,0,0
16,Gerald Wallace,32,32,286,.412,6.1,.912,.706,.147,.000,.059,.088,.419,.458,.400,,.000,.333,.615,.029,1,1.000,.333,1.000,1,0
17,Tayshaun Prince,34,9,198,.559,13.9,.864,.169,.153,.237,.305,.136,.549,.900,.444,.357,.556,.625,.429,.017,1,1.000,.500,.750,0,0
18,Luigi Datome,27,18,192,.494,18.4,.532,.104,.078,.156,.195,.468,.512,.750,.667,.417,.400,.472,.667,.039,3,.941,.111,.250,0,0
19,Jameer Nelson,32,6,121,.220,19.4,.390,.146,.073,.049,.122,.610,.250,.333,.333,.000,.200,.200,.000,.000,0,.400,.040,.000,0,0
20,Brandan Wright,27,8,86,.571,2.9,1.000,.571,.429,.000,.000,.000,.571,.750,.333,,,,.917,.286,6,,,,0,0
21,Shavlik Randolph,31,5,25,.300,5.2,.900,.500,.400,.000,.000,.100,.333,.400,.250,,,.000,.667,.100,1,,.000,,0,0
22,Dwight Powell,23,5,9,.800,1.2,1.000,1.000,.000,.000,.000,.000,.800,.800,,,,,.500,.200,1,,,,0,0
