
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Joe Johnson,32,79,79,32.6,5.8,12.9,.454,2.1,5.1,.401,3.8,7.8,.489,.533,2.0,2.5,.815,0.6,2.8,3.4,2.7,0.6,0.1,1.5,1.6,15.8
2,Deron Williams,29,64,58,32.2,5.0,11.2,.450,1.5,4.2,.366,3.5,7.0,.500,.518,2.7,3.4,.801,0.2,2.4,2.6,6.1,1.5,0.2,2.2,2.3,14.3
3,Brook Lopez,25,17,17,31.4,7.6,13.5,.563,0.0,0.1,.000,7.6,13.4,.566,.563,5.5,6.8,.817,2.3,3.7,6.0,0.9,0.5,1.8,1.6,3.1,20.7
4,Paul Pierce,36,75,68,28.0,4.3,9.5,.451,1.5,4.0,.373,2.8,5.5,.507,.529,3.4,4.1,.826,0.3,4.3,4.6,2.4,1.1,0.4,2.0,2.5,13.5
5,Shaun Livingston,28,76,54,26.0,3.1,6.4,.483,0.0,0.1,.167,3.1,6.3,.486,.484,2.1,2.5,.827,0.9,2.4,3.2,3.2,1.2,0.4,1.4,2.3,8.3
6,Marcus Thornton,26,26,1,23.8,4.2,10.2,.414,2.0,5.3,.380,2.2,5.0,.450,.511,1.8,2.3,.800,0.7,2.2,2.8,1.2,1.0,0.1,1.1,1.4,12.3
7,Alan Anderson,31,78,26,22.7,2.5,6.2,.400,1.1,3.2,.339,1.4,3.0,.464,.487,1.2,1.5,.780,0.5,1.7,2.2,1.0,0.6,0.1,0.8,1.9,7.2
8,Andray Blatche,27,73,7,22.2,4.4,9.2,.476,0.2,0.7,.278,4.2,8.5,.494,.487,2.2,3.0,.742,1.6,3.7,5.3,1.5,1.0,0.5,1.5,2.3,11.2
9,Kevin Garnett,37,54,54,20.5,2.9,6.6,.441,0.0,0.1,.000,2.9,6.5,.445,.441,0.7,0.9,.809,1.1,5.5,6.6,1.5,0.8,0.7,1.3,2.3,6.5
10,Mirza Teletovic,28,72,7,19.4,3.1,7.3,.418,1.9,4.8,.390,1.2,2.5,.472,.546,0.6,0.9,.710,0.8,2.9,3.7,0.8,0.4,0.3,0.8,2.0,8.6
11,Andrei Kirilenko,32,45,4,19.0,1.8,3.6,.513,0.0,0.1,.200,1.8,3.4,.523,.516,1.4,2.6,.513,1.2,2.0,3.2,1.6,0.9,0.4,1.2,1.4,5.0
12,Mason Plumlee,23,70,22,18.2,2.8,4.3,.659,0.0,0.0,.000,2.8,4.3,.666,.659,1.7,2.8,.626,1.4,3.0,4.4,0.9,0.7,0.8,1.1,2.4,7.4
13,Jason Terry,36,35,0,16.3,1.6,4.3,.362,1.1,2.9,.379,0.5,1.4,.327,.490,0.3,0.4,.667,0.1,0.9,1.1,1.6,0.4,0.0,0.8,1.4,4.5
14,Jorge Gutierrez,25,15,2,16.3,1.7,3.6,.463,0.2,0.8,.250,1.5,2.8,.524,.491,0.6,0.8,.750,0.2,1.3,1.5,2.0,0.7,0.1,0.9,2.5,4.1
15,Reggie Evans,33,30,6,13.3,0.8,2.0,.390,0.0,0.0,,0.8,2.0,.390,.390,1.2,2.2,.538,1.8,3.2,5.0,0.2,0.4,0.1,0.9,1.8,2.7
16,Tyshawn Taylor,23,23,3,11.7,1.3,4.0,.341,0.1,0.5,.250,1.2,3.4,.354,.357,1.0,1.3,.800,0.1,0.5,0.7,1.6,0.5,0.0,1.3,1.3,3.9
17,Marquis Teague,20,21,1,9.6,1.0,2.5,.415,0.1,0.4,.375,0.9,2.1,.422,.443,0.7,0.9,.789,0.0,1.0,1.0,1.4,0.4,0.0,1.0,1.0,3.0
18,Tornike Shengelia,22,17,0,8.1,0.6,1.4,.458,0.0,0.4,.000,0.6,1.1,.611,.458,0.2,0.5,.375,0.2,0.6,0.8,0.7,0.1,0.1,0.6,0.9,1.5
19,Jason Collins,35,22,1,7.8,0.5,1.1,.458,0.0,0.1,.000,0.5,1.0,.524,.458,0.1,0.2,.750,0.3,0.5,0.9,0.2,0.4,0.0,0.3,1.4,1.1
