
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Joe Johnson,32,79,79,2575,9.4,20.8,.454,3.3,8.2,.401,6.1,12.5,.489,3.2,4.0,.815,1.0,4.5,5.5,4.4,1.0,0.2,2.4,2.6,25.4,,110,112
2,Paul Pierce,36,75,68,2098,8.0,17.8,.451,2.8,7.5,.373,5.2,10.3,.507,6.4,7.8,.826,0.7,8.1,8.7,4.5,2.2,0.8,3.8,4.8,25.3,,109,106
3,Deron Williams,29,64,58,2059,8.2,18.3,.450,2.5,6.8,.366,5.7,11.4,.500,4.4,5.5,.801,0.4,3.9,4.3,10.0,2.4,0.3,3.6,3.8,23.3,,112,109
4,Shaun Livingston,28,76,54,1974,6.2,12.9,.483,0.0,0.2,.167,6.2,12.8,.486,4.2,5.1,.827,1.8,4.8,6.5,6.5,2.5,0.8,2.8,4.6,16.7,,111,108
5,Alan Anderson,31,78,26,1773,5.7,14.4,.400,2.5,7.3,.339,3.3,7.0,.464,2.7,3.5,.780,1.2,4.0,5.2,2.4,1.4,0.3,1.8,4.4,16.7,,103,111
6,Andray Blatche,27,73,7,1618,10.4,21.9,.476,0.5,1.8,.278,9.9,20.1,.494,5.3,7.2,.742,3.9,8.8,12.7,3.6,2.4,1.2,3.6,5.4,26.6,,104,105
7,Mirza Teletovic,28,72,7,1396,8.3,19.9,.418,5.1,13.1,.390,3.2,6.8,.472,1.7,2.3,.710,2.3,7.7,10.0,2.1,1.1,0.9,2.0,5.4,23.4,,108,109
8,Mason Plumlee,23,70,22,1275,8.2,12.4,.659,0.0,0.1,.000,8.2,12.3,.666,5.0,8.0,.626,4.1,8.6,12.7,2.5,2.0,2.3,3.2,7.0,21.4,,121,104
9,Kevin Garnett,37,54,54,1109,7.4,16.8,.441,0.0,0.1,.000,7.4,16.7,.445,1.8,2.2,.809,2.8,14.1,16.9,3.9,2.0,1.9,3.3,5.8,16.7,,93,101
10,Andrei Kirilenko,32,45,4,857,5.0,9.8,.513,0.1,0.3,.200,5.0,9.5,.523,3.7,7.3,.513,3.4,5.6,8.9,4.4,2.4,1.2,3.3,4.0,13.8,,103,107
11,Marcus Thornton,26,26,1,620,9.3,22.5,.414,4.4,11.6,.380,4.9,10.9,.450,4.1,5.1,.800,1.5,4.7,6.3,2.5,2.3,0.3,2.5,3.0,27.1,,106,109
12,Jason Terry,36,35,0,570,5.1,14.0,.362,3.6,9.5,.379,1.5,4.5,.327,0.9,1.4,.667,0.4,3.0,3.4,5.2,1.2,0.0,2.5,4.4,14.6,,98,112
13,Brook Lopez,25,17,17,533,12.7,22.6,.563,0.0,0.1,.000,12.7,22.5,.566,9.3,11.3,.817,3.8,6.2,10.0,1.6,0.9,3.0,2.8,5.1,34.7,,121,108
14,Reggie Evans,33,30,6,399,3.0,7.8,.390,0.0,0.0,,3.0,7.8,.390,4.6,8.6,.538,7.0,12.6,19.6,0.7,1.7,0.3,3.7,7.1,10.7,,94,104
15,Tyshawn Taylor,23,23,3,270,6.0,17.7,.341,0.6,2.3,.250,5.4,15.4,.354,4.7,5.8,.800,0.6,2.3,2.9,7.0,2.3,0.2,6.0,5.6,17.3,,80,110
16,Jorge Gutierrez,25,15,2,244,5.4,11.6,.463,0.6,2.6,.250,4.7,9.0,.524,1.9,2.6,.750,0.6,4.1,4.7,6.5,2.2,0.2,3.0,8.0,13.3,,101,109
17,Marquis Teague,20,21,1,201,5.7,13.8,.415,0.8,2.1,.375,5.0,11.8,.422,3.9,5.0,.789,0.0,5.5,5.5,7.8,2.1,0.3,5.7,5.5,16.2,,89,109
18,Jason Collins,35,22,1,172,3.4,7.3,.458,0.0,0.9,.000,3.4,6.4,.524,0.9,1.2,.750,2.1,3.7,5.8,1.2,2.4,0.3,2.1,9.2,7.6,,91,109
19,Tornike Shengelia,22,17,0,137,4.2,9.2,.458,0.0,2.3,.000,4.2,6.9,.611,1.1,3.1,.375,1.5,3.8,5.4,4.6,0.8,0.4,4.2,6.1,9.6,,81,112
