
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Joe Johnson,33,6,6,41.5,5.7,15.7,.362,2.0,6.8,.293,3.7,8.8,.415,.426,3.2,4.0,.792,0.8,6.8,7.7,4.8,1.2,0.0,0.8,2.7,16.5
2,Brook Lopez,26,6,6,39.0,7.2,14.5,.494,0.0,0.0,,7.2,14.5,.494,.494,5.5,6.7,.825,3.3,5.7,9.0,0.8,0.7,2.2,1.0,3.0,19.8
3,Bojan Bogdanovic,25,6,5,34.3,3.8,9.8,.390,1.8,5.5,.333,2.0,4.3,.462,.483,0.8,1.2,.714,0.5,3.3,3.8,1.7,0.7,0.3,1.3,2.0,10.3
4,Deron Williams,30,6,6,32.0,4.5,11.5,.391,1.8,4.3,.423,2.7,7.2,.372,.471,1.0,1.2,.857,0.5,5.7,6.2,5.5,1.3,0.0,2.7,3.0,11.8
5,Thaddeus Young,26,6,6,31.7,4.8,11.0,.439,0.0,0.7,.000,4.8,10.3,.468,.439,0.8,2.0,.417,2.8,4.3,7.2,2.7,0.8,0.2,2.3,2.5,10.5
6,Jarrett Jack,31,6,0,25.5,4.7,9.0,.519,0.8,2.5,.333,3.8,6.5,.590,.565,2.2,2.2,1.000,0.3,3.8,4.2,4.5,1.2,0.2,3.3,2.3,12.3
7,Alan Anderson,32,6,0,23.7,4.2,6.8,.610,1.7,2.7,.625,2.5,4.2,.600,.732,1.0,1.5,.667,0.3,3.2,3.5,1.2,0.7,0.2,1.3,1.5,11.0
8,Mason Plumlee,24,6,0,8.2,0.7,1.0,.667,0.0,0.0,,0.7,1.0,.667,.667,0.7,1.8,.364,0.3,1.0,1.3,0.3,0.7,0.3,0.5,1.7,2.0
9,Earl Clark,27,2,0,6.5,1.0,5.0,.200,1.0,1.5,.667,0.0,3.5,.000,.300,0.0,0.0,,0.0,1.0,1.0,0.0,0.5,0.0,0.0,0.5,3.0
10,Mirza Teletovic,29,3,0,5.3,0.0,1.7,.000,0.0,1.3,.000,0.0,0.3,.000,.000,0.0,0.0,,0.0,1.3,1.3,0.0,0.3,0.0,0.3,0.3,0.0
11,Darius Morris,24,1,0,5.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Markel Brown,23,2,1,5.0,1.0,2.5,.400,0.0,1.0,.000,1.0,1.5,.667,.400,1.0,1.0,1.000,1.0,0.0,1.0,0.5,0.0,0.0,1.0,0.0,3.0
13,Jerome Jordan,28,1,0,5.0,0.0,2.0,.000,0.0,0.0,,0.0,2.0,.000,.000,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
