
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Joe Johnson,33,6,6,249,34,94,.362,12,41,.293,22,53,.415,.426,19,24,.792,5,41,46,29,7,0,5,16,99
2,Brook Lopez,26,6,6,234,43,87,.494,0,0,,43,87,.494,.494,33,40,.825,20,34,54,5,4,13,6,18,119
3,Bojan Bogdanovic,25,6,5,206,23,59,.390,11,33,.333,12,26,.462,.483,5,7,.714,3,20,23,10,4,2,8,12,62
4,Deron Williams,30,6,6,192,27,69,.391,11,26,.423,16,43,.372,.471,6,7,.857,3,34,37,33,8,0,16,18,71
5,Thaddeus Young,26,6,6,190,29,66,.439,0,4,.000,29,62,.468,.439,5,12,.417,17,26,43,16,5,1,14,15,63
6,Jarrett Jack,31,6,0,153,28,54,.519,5,15,.333,23,39,.590,.565,13,13,1.000,2,23,25,27,7,1,20,14,74
7,Alan Anderson,32,6,0,142,25,41,.610,10,16,.625,15,25,.600,.732,6,9,.667,2,19,21,7,4,1,8,9,66
8,Mason Plumlee,24,6,0,49,4,6,.667,0,0,,4,6,.667,.667,4,11,.364,2,6,8,2,4,2,3,10,12
9,Mirza Teletovic,29,3,0,16,0,5,.000,0,4,.000,0,1,.000,.000,0,0,,0,4,4,0,1,0,1,1,0
10,Earl Clark,27,2,0,13,2,10,.200,2,3,.667,0,7,.000,.300,0,0,,0,2,2,0,1,0,0,1,6
11,Markel Brown,23,2,1,10,2,5,.400,0,2,.000,2,3,.667,.400,2,2,1.000,2,0,2,1,0,0,2,0,6
12,Darius Morris,24,1,0,5,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,0,0,0,0,0,0,0,0
13,Jerome Jordan,28,1,0,5,0,2,.000,0,0,,0,2,.000,.000,0,0,,1,1,2,0,0,0,1,0,0
