
,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Rk,Player,Age,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16 &lt;3,3P,2P,0-3,3-10,10-16,16 &lt;3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
1,Joe Johnson,33,80,2791,.435,15.0,.671,.092,.281,.140,.159,.329,.472,.596,.524,.399,.374,.359,.231,.001,1,.893,.285,.333,2,0
2,Jarrett Jack,31,80,2241,.439,14.2,.821,.131,.214,.204,.272,.179,.477,.607,.503,.395,.455,.267,.191,.001,1,.872,.295,.465,7,0
3,Deron Williams,30,68,2114,.387,14.4,.693,.213,.179,.106,.196,.307,.395,.457,.377,.390,.351,.367,.199,.001,0,.782,.156,.459,3,0
4,Brook Lopez,26,72,2100,.513,8.4,.990,.309,.340,.153,.187,.010,.517,.662,.458,.470,.422,.100,.648,.040,37,1.000,.400,.000,0,0
5,Bojan Bogdanovic,25,78,1854,.453,14.5,.556,.269,.130,.082,.075,.444,.531,.710,.387,.362,.326,.355,.635,.026,15,.934,.445,.439,0,0
6,Alan Anderson,32,74,1744,.443,16.1,.523,.230,.111,.095,.086,.477,.530,.683,.449,.452,.289,.348,.541,.025,10,.822,.362,.434,5,0
7,Mason Plumlee,24,82,1743,.573,2.6,.994,.744,.233,.012,.004,.006,.576,.646,.377,.167,.500,.000,.682,.243,108,,.000,,3,0
8,Mirza Teletovic,29,40,892,.382,18.0,.395,.201,.103,.022,.072,.605,.476,.531,.424,.286,.435,.321,.633,.016,5,.984,.083,.625,1,0
9,Kevin Garnett,38,42,854,.455,13.7,.978,.153,.145,.178,.502,.022,.461,.500,.400,.429,.478,.167,.766,.022,3,1.000,.333,.000,0,0
10,Thaddeus Young,26,28,829,.495,8.0,.847,.443,.297,.043,.064,.153,.516,.676,.361,.286,.286,.380,.559,.037,12,.895,.140,.429,0,0
11,Markel Brown,23,47,781,.362,13.7,.695,.290,.110,.090,.205,.305,.404,.541,.348,.316,.279,.266,.576,.062,10,.941,.406,.308,1,0
12,Sergey Karasev,21,33,555,.403,14.3,.597,.284,.149,.060,.104,.403,.475,.553,.450,.375,.357,.296,.737,.000,0,1.000,.426,.217,1,0
13,Cory Jefferson,24,50,531,.449,9.5,.910,.347,.216,.162,.186,.090,.480,.586,.389,.519,.355,.133,.534,.174,21,1.000,.333,.400,1,0
14,Jerome Jordan,28,44,383,.532,3.5,1.000,.798,.074,.053,.074,.000,.532,.587,.286,.400,.286,,.680,.234,19,,,,0,0
15,Darius Morris,24,38,299,.340,13.3,.689,.311,.123,.132,.123,.311,.397,.545,.385,.214,.231,.212,.241,.009,1,.857,.333,.091,0,0
16,Earl Clark,27,10,93,.367,19.3,.533,.133,.000,.033,.367,.467,.438,.750,,.000,.364,.286,.571,.000,0,1.000,.143,.000,0,0
17,Brandon Davies,23,7,44,.333,12.8,.778,.278,.167,.167,.167,.222,.357,.400,.333,.333,.333,.250,.600,.000,0,1.000,.250,.000,0,0
18,Jorge Gutierrez,26,10,44,.500,11.5,.929,.286,.214,.071,.357,.071,.538,1.000,.333,.000,.400,.000,.286,.000,0,,.000,,0,0
19,Andrei Kirilenko,33,7,36,.000,2.2,1.000,.600,.400,.000,.000,.000,.000,.000,.000,,,,,.000,0,,,,0,0
