
Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Bob McAdoo,23,82,3539,25.8,.569,,.372,9.2,23.5,16.6,8.6,1.2,2.4,,,,12.7,5.1,17.8,.242,,5.5,-0.7,4.7,6.0
2,Randy Smith,26,82,3001,17.1,.523,,.234,3.4,8.1,5.8,25.5,2.0,0.0,,,,5.0,2.3,7.2,.116,,2.8,-0.5,2.3,3.3
3,Gar Heard,26,67,2148,13.6,.411,,.230,9.1,21.9,15.8,11.8,2.2,2.8,,,,-1.6,3.6,2.1,.046,,-2.6,2.9,0.3,1.3
4,Jack Marin,30,81,2147,12.8,.510,,.266,5.1,11.8,8.6,8.6,1.1,0.4,,,,2.4,1.5,3.9,.087,,-1.2,-1.1,-2.3,-0.2
5,Jim McMillian,26,62,2132,14.7,.557,,.332,6.3,11.8,9.2,9.9,1.4,0.3,,,,4.3,1.7,6.0,.134,,0.8,0.2,1.0,1.6
6,Ken Charles,23,79,1690,12.5,.518,,.283,4.3,5.6,4.9,13.3,2.3,0.6,,,,1.7,1.3,3.0,.086,,-0.8,-0.1,-0.9,0.5
7,Bob Weiss,32,76,1338,10.5,.444,,.257,1.7,6.1,4.0,23.6,2.7,0.7,,,,-0.1,1.2,1.1,.040,,-3.0,0.1,-3.0,-0.3
8,Lee Winfield,27,68,1259,11.8,.551,,.218,3.8,6.3,5.1,13.8,1.5,1.2,,,,1.6,0.8,2.4,.093,,-1.3,0.0,-1.3,0.2
9,Dale Schlueter,29,76,962,13.1,.579,,.680,8.6,18.9,14.0,13.4,0.8,2.2,,,,0.9,1.1,2.0,.102,,-0.5,1.2,0.7,0.7
10,Ernie DiGregorio,24,31,712,12.3,.475,,.192,0.9,5.4,3.2,28.1,1.2,0.0,,,,0.3,0.3,0.6,.039,,-1.5,-3.0,-4.5,-0.5
11,Jim Washington,31,42,674,10.6,.490,,.235,9.1,20.2,14.9,8.1,0.7,1.0,,,,0.3,0.7,1.0,.074,,-3.0,0.3,-2.6,-0.1
12,Paul Ruffner,26,22,103,12.1,.457,,.106,12.3,9.5,10.9,9.9,1.3,1.4,,,,0.0,0.1,0.1,.029,,-1.5,-1.9,-3.5,0.0
13,Bernie Harris,24,11,25,3.6,.210,,.182,8.5,23.5,16.3,4.9,0.0,2.0,,,,-0.1,0.0,-0.1,-0.190,,-12.8,-2.7,-15.5,-0.1
