
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
15,Bird Averitt,SG,6-1,170,July 22 1952,4,Pepperdine University
8,Marvin Barnes,PF,6-8,210,July 27 1952,3,Providence College
7,Gary Brokaw,SG,6-4,178,January 11 1954,3,University of Notre Dame
22,Gus Gerard,SF,6-8,200,July 27 1953,3,University of Virginia
14,Mike Glenn,SG,6-2,175,September 10 1955,R,Southern Illinois University
10,Larry Johnson,SG,6-3,205,November 28 1954,R,University of Kentucky
24,Wil Jones,PF,6-8,205,February 27 1947,8,Albany State University
25,Billy Knight,SF,6-6,195,June 9 1952,3,University of Pittsburgh
45,Scott Lloyd,C,6-10,230,December 19 1952,1,Arizona State University
12,Ted McClain,PG,6-1,180,August 30 1946,6,Tennessee State University
44,Jim McDaniels,C,6-11,228,April 2 1948,4,Western Kentucky University
43,Larry McNeill,PF,6-9,195,January 31 1951,4,Marquette University
31,Swen Nater,C,6-11,240,January 14 1950,4,University of California Los Angeles
40,Eddie Owens,SF,6-7,210,December 26 1953,R,University of Nevada Las Vegas
34,John Shumate,PF,6-9,235,April 6 1952,2,University of Notre Dame
9,Randy Smith,SG,6-3,180,December 12 1948,6,State University of New York College at Buffalo
11,Chuck Williams,PG,6-2,175,June 6 1946,7,University of Colorado
32,Bill Willoughby,SF,6-8,205,May 20 1957,2,
