
Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Elvin Hayes,28,81,3602,18.2,.470,,.304,9.2,29.7,19.3,6.6,1.1,3.4,,,,2.6,8.1,10.6,.142,,-1.1,2.4,1.2,3.0
2,Mike Riordan,28,81,3230,12.5,.496,,.142,3.5,7.8,5.6,11.6,1.4,0.2,,,,3.5,3.5,7.0,.104,,-0.4,0.8,0.4,2.0
3,Phil Chenier,23,76,2942,17.2,.475,,.208,3.6,9.0,6.3,12.6,2.4,1.2,,,,3.1,4.3,7.4,.121,,0.9,0.9,1.8,2.8
4,Kevin Porter,23,81,2339,16.7,.512,,.250,3.2,4.1,3.6,29.6,1.8,0.2,,,,2.7,2.4,5.2,.106,,3.1,-1.4,1.8,2.2
5,Archie Clark,32,56,1786,14.4,.500,,.194,2.3,5.2,3.8,22.6,1.5,0.2,,,,2.2,1.7,4.0,.107,,0.5,-0.6,-0.2,0.8
6,Wes Unseld,27,56,1727,11.1,.459,,.165,8.3,20.4,14.2,11.5,1.5,0.5,,,,0.8,2.8,3.6,.100,,-2.4,3.4,1.0,1.3
7,Nick Weatherspoon,23,65,1216,13.2,.454,,.288,10.3,20.9,15.5,4.4,1.8,0.7,,,,-0.1,2.2,2.1,.082,,-2.9,-0.4,-3.2,-0.4
8,Manny Leaks,28,53,845,9.4,.402,,.358,10.4,17.1,13.7,3.8,0.5,2.3,,,,-0.4,1.2,0.8,.047,,-5.2,0.5,-4.7,-0.6
9,Tom Kozelko,22,49,573,9.4,.479,,.241,8.5,12.1,10.3,5.6,1.7,0.6,,,,0.2,0.8,1.0,.080,,-3.3,1.1,-2.2,0.0
10,Louie Nelson,22,49,556,13.7,.484,,.340,4.4,7.6,6.0,13.1,2.5,0.2,,,,0.3,0.8,1.1,.091,,-1.1,-0.2,-1.4,0.1
11,Dave Stallworth,32,45,458,15.0,.466,,.294,10.7,15.4,13.0,7.6,2.8,0.4,,,,0.3,0.8,1.1,.117,,-1.2,0.4,-0.9,0.1
12,Walt Wesley,29,39,400,15.1,.494,,.285,14.8,17.6,16.2,5.0,1.0,2.5,,,,0.3,0.7,1.0,.121,,-1.1,-0.4,-1.5,0.1
13,Rich Rinaldi,24,7,48,4.4,.189,,.182,3.9,10.0,6.9,25.4,2.8,1.1,,,,-0.3,0.1,-0.2,-0.210,,-9.1,0.5,-8.6,-0.1
14,Tom Patterson,25,2,8,11.0,.266,,2.000,11.7,12.1,11.9,28.3,0.0,0.0,,,,0.0,0.0,0.0,-0.056,,-4.5,-0.6,-5.0,0.0
