
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Raymond Felton,21,80,54,2406,5.2,13.2,.391,1.5,4.1,.358,3.7,9.2,.405,2.4,3.3,.725,1.2,2.8,4.0,6.7,1.5,0.1,2.7,2.7,14.2
2,Brevin Knight,30,69,67,2351,4.7,11.8,.399,0.0,0.2,.231,4.7,11.6,.402,3.9,4.8,.803,0.5,2.9,3.4,9.3,2.4,0.1,2.5,3.1,13.3
3,Primoz Brezec,26,79,79,2165,6.8,13.2,.517,0.0,0.0,.000,6.8,13.1,.518,2.7,3.7,.732,3.0,4.3,7.3,0.7,0.3,0.5,1.4,3.8,16.3
4,Jumaine Jones,26,76,42,2089,5.1,12.7,.405,2.0,5.8,.343,3.2,6.9,.456,1.5,2.1,.727,1.8,4.7,6.5,1.1,1.2,0.4,1.3,3.4,13.8
5,Gerald Wallace,23,55,52,1895,6.0,11.2,.538,0.3,0.9,.280,5.8,10.2,.562,3.6,5.8,.614,2.3,5.5,7.8,1.8,2.6,2.2,1.9,2.8,15.9
6,Melvin Ely,27,57,22,1348,5.8,11.4,.508,0.0,0.1,.000,5.8,11.3,.511,3.4,5.1,.667,2.5,4.9,7.4,2.0,0.8,1.2,2.7,4.3,15.0
7,Bernard Robinson,25,66,18,1303,4.3,10.1,.430,0.1,0.6,.095,4.3,9.5,.451,2.9,3.7,.791,1.7,4.3,6.1,2.1,2.2,0.3,2.0,3.9,11.7
8,Matt Carroll,25,78,6,1275,5.4,13.4,.403,2.0,5.2,.389,3.4,8.2,.412,3.9,4.7,.821,1.0,3.5,4.4,1.0,1.3,0.3,1.4,3.4,16.8
9,Kareem Rush,25,47,25,1111,5.9,15.2,.386,1.8,5.3,.348,4.0,9.9,.407,1.8,2.5,.714,0.6,2.8,3.3,1.6,1.2,0.4,2.1,2.6,15.4
10,Emeka Okafor,23,26,25,874,5.4,13.0,.415,0.0,0.0,,5.4,13.0,.415,3.4,5.1,.656,3.9,6.9,10.8,1.3,0.9,2.1,2.2,3.6,14.2
11,Keith Bogans,25,39,9,848,4.8,12.2,.396,1.4,4.2,.337,3.4,8.1,.426,3.4,4.5,.762,1.2,3.3,4.5,1.9,1.7,0.1,1.7,3.3,14.5
12,Jake Voskuhl,28,51,2,818,5.0,11.5,.437,0.0,0.1,.333,5.0,11.4,.438,1.8,2.6,.683,2.7,5.3,8.1,1.7,1.1,1.0,1.5,6.9,11.9
13,Alan Anderson,23,36,7,564,4.8,11.6,.414,1.5,3.7,.414,3.3,7.9,.415,2.1,2.6,.805,1.5,3.0,4.5,2.0,0.7,0.3,2.0,3.1,13.2
14,Sean May,21,23,1,398,6.3,15.5,.409,0.0,0.5,.000,6.3,15.0,.422,4.4,5.8,.766,3.8,6.1,9.9,2.0,1.5,1.1,3.0,5.2,17.1
15,Kevin Burleson,26,39,1,340,2.3,9.3,.250,1.1,5.7,.185,1.3,3.6,.353,1.7,1.8,.941,0.4,2.3,2.8,5.1,2.8,0.2,2.6,6.7,7.4
16,Lonny Baxter,27,18,0,119,3.6,9.7,.375,0.0,0.0,,3.6,9.7,.375,3.6,4.8,.750,2.1,7.9,10.0,0.6,0.6,0.3,2.1,2.4,10.9
