
Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Boris Diaw,28,82,2778,13.9,.558,.292,.159,4.5,13.6,9.0,20.6,1.4,1.3,16.7,16.8,,2.4,2.3,4.8,.082,,0.8,0.7,1.5,2.5
2,D.J. Augustin,23,82,2757,15.9,.541,.348,.310,1.7,8.3,4.9,31.1,1.0,0.1,12.5,21.2,,4.9,1.3,6.2,.108,,2.4,-2.8,-0.3,1.1
3,Stephen Jackson,32,67,2405,14.6,.520,.339,.288,2.6,12.7,7.7,18.4,1.8,0.9,14.9,27.4,,-0.2,2.1,1.9,.039,,0.6,-0.8,-0.2,1.1
4,Gerald Wallace,28,48,1872,15.0,.530,.182,.488,4.6,21.0,12.7,10.5,1.7,2.1,12.4,20.2,,1.3,2.3,3.6,.092,,-0.8,1.5,0.8,1.3
5,Kwame Brown,28,66,1714,12.8,.550,.000,.616,10.3,21.6,15.9,4.1,0.8,1.8,12.6,14.9,,1.8,1.7,3.5,.097,,-2.2,-0.1,-2.3,-0.1
6,Gerald Henderson,23,68,1661,13.2,.509,.063,.286,3.5,11.6,7.5,10.7,1.6,1.6,9.1,19.9,,0.9,1.4,2.4,.068,,-1.9,-0.3,-2.3,-0.1
7,Shaun Livingston,25,73,1261,14.3,.530,.010,.315,2.8,11.6,7.2,22.5,2.0,1.9,16.3,20.1,,0.7,1.2,1.9,.073,,-2.0,0.1,-1.9,0.0
8,Tyrus Thomas,24,41,861,18.2,.536,.009,.411,9.1,22.5,15.8,6.2,1.9,6.2,14.3,24.9,,0.4,1.5,1.8,.103,,-3.1,1.9,-1.2,0.2
9,Nazr Mohammed,33,51,851,15.9,.520,.003,.278,13.3,22.6,17.9,3.7,0.9,4.4,12.5,22.4,,0.3,1.1,1.4,.080,,-3.3,-0.8,-4.1,-0.5
10,Dominic McGuire,25,52,760,10.4,.437,.011,.214,10.0,21.8,15.9,9.0,0.7,3.5,11.2,13.8,,0.1,0.9,0.9,.059,,-4.0,1.5,-2.5,-0.1
11,Matt Carroll,30,54,582,12.2,.530,.231,.261,2.5,11.7,7.1,6.9,1.6,0.8,9.4,19.8,,0.3,0.5,0.8,.062,,-2.3,-2.0,-4.3,-0.3
12,Dante Cunningham,23,22,529,13.1,.525,.050,.094,5.2,15.0,10.1,4.5,1.5,1.7,8.7,18.3,,0.2,0.5,0.7,.065,,-2.6,-0.6,-3.2,-0.2
13,Derrick Brown,23,41,488,12.4,.565,.053,.416,7.9,13.0,10.4,9.9,1.8,1.3,17.3,15.6,,0.3,0.4,0.8,.074,,-1.9,0.2,-1.7,0.0
14,D.J. White,24,24,466,17.7,.571,.013,.351,8.0,19.6,13.8,5.8,0.7,2.1,3.8,18.6,,1.1,0.4,1.6,.161,,-0.4,-1.2,-1.7,0.0
15,Eduardo Najera,34,31,372,5.5,.449,.472,.153,4.5,9.8,7.2,8.2,1.6,1.3,14.5,11.3,,-0.1,0.3,0.2,.020,,-3.2,0.1,-3.1,-0.1
16,DeSagana Diop,29,16,181,5.4,.347,.000,.458,8.0,18.9,13.4,5.7,1.2,6.7,27.6,10.3,,-0.3,0.3,-0.1,-0.016,,-7.4,4.2,-3.3,-0.1
17,Garrett Temple,24,12,126,6.4,.406,.619,.262,0.0,14.5,7.2,30.2,3.8,2.6,29.9,24.9,,-0.5,0.2,-0.3,-0.119,,-5.9,1.0,-5.0,-0.1
18,Joel Przybilla,31,5,74,0.3,.383,.000,.400,14.6,24.7,19.6,0.0,0.0,1.1,37.3,11.9,,-0.2,0.1,-0.1,-0.074,,-10.0,-4.1,-14.1,-0.2
19,Sherron Collins,23,20,66,3.6,.334,.400,.040,0.0,9.2,4.6,19.6,1.6,0.0,13.6,20.9,,-0.2,0.0,-0.2,-0.121,,-6.9,-3.3,-10.2,-0.1
