
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Johnny Newman,27,81,81,2477,478,1017,.470,30,84,.357,448,933,.480,.485,385,476,.809,94,160,254,188,100,17,189,278,1371
2,J.R. Reid,22,80,80,2467,360,773,.466,0,2,.000,360,771,.467,.466,182,259,.703,154,348,502,89,87,47,153,286,902
3,Muggsy Bogues,26,81,46,2299,241,524,.460,0,12,.000,241,512,.471,.460,86,108,.796,58,158,216,669,137,3,120,160,568
4,Rex Chapman,23,70,68,2100,410,922,.445,48,148,.324,362,774,.468,.471,234,282,.830,45,146,191,250,73,16,131,167,1102
5,Kendall Gill,22,82,36,1944,376,836,.450,2,14,.143,374,822,.455,.451,152,182,.835,105,158,263,303,104,39,163,186,906
6,Kenny Gattison,26,72,6,1552,243,457,.532,0,2,.000,243,455,.534,.532,164,248,.661,136,243,379,44,48,67,102,211,650
7,Dell Curry,26,76,14,1515,337,715,.471,32,86,.372,305,629,.485,.494,96,114,.842,47,152,199,166,75,25,80,125,802
8,Mike Gminski,31,50,50,1405,248,524,.473,1,6,.167,247,518,.477,.474,75,95,.789,115,266,381,60,24,22,54,58,572
9,Kelly Tripucka,31,77,1,1289,187,412,.454,15,45,.333,172,367,.469,.472,152,167,.910,46,130,176,159,33,13,92,130,541
10,Armen Gilliam,26,25,25,949,195,380,.513,0,0,,195,380,.513,.513,104,128,.813,86,148,234,27,34,21,64,65,494
11,Eric Leckner,24,40,2,744,92,198,.465,0,0,,92,198,.465,.465,46,84,.548,55,153,208,21,10,11,44,123,230
12,Randolph Keys,24,44,0,473,59,145,.407,3,14,.214,56,131,.427,.417,19,33,.576,40,60,100,18,22,15,35,93,140
13,Steve Scheffler,23,39,0,227,20,39,.513,0,0,,20,39,.513,.513,19,21,.905,21,24,45,9,6,2,4,20,59
14,Earl Cureton,33,9,1,159,8,24,.333,0,1,.000,8,23,.348,.333,1,3,.333,6,30,36,3,0,3,6,16,17
15,Dave Hoppen,26,19,0,112,18,32,.563,0,1,.000,18,31,.581,.563,8,10,.800,14,16,30,3,2,1,12,18,44
16,Scott Haffner,24,7,0,50,8,21,.381,0,2,.000,8,19,.421,.381,1,2,.500,2,2,4,9,3,1,4,4,17
17,Jeff Sanders,25,3,0,43,6,14,.429,0,0,,6,14,.429,.429,1,2,.500,3,6,9,1,1,1,1,6,13
,Team Totals,,82,,19805,3286,7033,.467,131,417,.314,3155,6616,.477,.477,1725,2214,.779,1027,2200,3227,2019,759,304,1290,1946,8428
