
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Larry Johnson,23,82,82,3323,10.5,20.0,.526,0.3,1.0,.254,10.2,18.9,.540,4.8,6.3,.767,4.0,8.4,12.5,5.1,0.8,0.4,3.3,2.7,26.1,,115,110
2,Muggsy Bogues,28,81,80,2833,5.6,12.3,.453,0.1,0.4,.231,5.5,11.9,.462,2.4,2.8,.833,0.9,4.2,5.0,12.0,2.7,0.1,2.6,3.0,13.7,,113,110
3,Alonzo Mourning,22,78,78,2644,10.4,20.3,.511,0.0,0.1,.000,10.4,20.2,.513,9.0,11.5,.781,4.8,9.8,14.6,1.4,0.5,4.9,4.3,5.2,29.7,,112,106
4,Kendall Gill,24,69,67,2430,9.1,20.3,.449,0.3,1.2,.274,8.8,19.1,.460,4.4,5.7,.772,2.4,4.3,6.7,5.3,1.9,0.7,3.4,3.8,23.0,,103,111
5,Dell Curry,28,80,0,2094,11.4,25.2,.452,2.2,5.4,.401,9.2,19.8,.466,3.1,3.6,.866,1.2,5.4,6.5,4.1,2.0,0.5,3.0,3.4,28.1,,105,110
6,Kenny Gattison,28,75,5,1475,6.6,12.5,.529,0.0,0.1,.000,6.6,12.4,.533,3.3,5.5,.604,3.5,8.0,11.5,2.2,1.6,1.8,2.1,7.7,16.5,,112,108
7,David Wingate,29,72,55,1471,5.9,10.9,.536,0.0,0.2,.167,5.8,10.7,.542,2.6,3.5,.738,1.6,4.1,5.7,6.0,2.1,0.3,2.9,4.4,14.3,,110,111
8,Johnny Newman,29,64,27,1471,9.1,17.4,.522,0.4,1.5,.267,8.7,15.9,.546,6.3,7.8,.808,2.3,2.3,4.7,3.8,1.5,0.6,2.9,5.0,24.9,,117,113
9,Tony Bennett,23,75,2,857,6.1,14.5,.423,1.5,4.5,.325,4.7,10.1,.467,1.7,2.3,.732,0.7,2.9,3.5,7.6,1.7,0.0,2.8,6.1,15.4,,103,113
10,Kevin Lynch,24,40,8,324,4.4,8.7,.508,0.0,0.1,.000,4.4,8.6,.517,3.8,5.6,.684,1.8,3.4,5.2,3.7,1.6,0.9,3.5,6.5,12.7,,100,112
11,J.R. Reid,24,17,1,295,6.8,15.9,.429,0.0,0.2,.000,6.8,15.7,.433,7.0,9.4,.741,3.2,8.1,11.4,3.9,1.8,0.8,3.9,8.0,20.6,,102,108
12,Mike Gminski,33,34,0,251,8.0,15.8,.506,0.0,0.0,,8.0,15.8,.506,1.7,1.9,.900,6.5,9.7,16.2,1.3,0.2,1.7,2.1,5.3,17.7,,112,109
13,Tom Hammonds,25,19,5,142,6.4,15.2,.422,0.0,0.0,,6.4,15.2,.422,1.7,2.7,.625,1.7,8.8,10.5,2.7,0.0,1.3,1.0,6.7,14.5,,100,111
14,Sidney Green,32,24,0,127,5.3,15.1,.350,0.0,0.8,.000,5.3,14.3,.368,4.5,6.0,.750,5.3,12.4,17.7,1.9,0.4,0.8,3.0,6.0,15.1,,94,107
15,Lorenzo Williams,23,2,0,18,2.7,8.0,.333,0.0,0.0,,2.7,8.0,.333,0.0,0.0,,8.0,16.0,23.9,0.0,0.0,5.3,5.3,10.6,5.3,,69,102
