
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Larry Johnson,26,81,81,3274,6.4,13.5,.476,0.7,2.0,.366,5.7,11.5,.495,4.7,6.2,.757,2.7,4.8,7.5,3.9,0.6,0.5,2.0,1.9,18.3
2,Glen Rice,28,79,79,3142,7.0,14.8,.471,2.0,4.6,.424,5.0,10.2,.492,3.7,4.4,.837,1.0,3.3,4.3,2.7,1.0,0.2,1.9,2.5,19.6
3,Dell Curry,31,82,29,2371,6.7,14.8,.453,2.5,6.2,.404,4.2,8.6,.488,2.2,2.6,.854,1.0,3.0,4.0,2.7,1.6,0.4,2.0,2.6,18.1
4,Matt Geiger,26,77,50,2349,5.5,10.2,.536,0.0,0.1,.375,5.4,10.1,.538,2.3,3.1,.727,3.1,6.9,9.9,0.9,0.7,1.0,2.1,4.4,13.3
5,Kenny Anderson,25,38,36,1302,5.7,12.6,.454,1.5,4.3,.357,4.1,8.2,.505,3.0,4.1,.727,0.7,2.1,2.8,9.1,1.6,0.2,2.4,2.9,16.0
6,Kendall Gill,27,36,36,1265,5.1,10.6,.481,0.5,1.5,.315,4.6,9.0,.509,2.5,3.3,.761,1.6,3.8,5.4,6.4,1.2,0.6,3.1,2.9,13.2
7,Robert Parish,42,74,34,1086,4.0,8.0,.498,0.0,0.0,,4.0,8.0,.498,1.7,2.4,.704,3.0,7.1,10.0,1.0,0.7,1.8,1.7,2.7,9.6
8,George Zidek,22,71,21,888,4.3,10.1,.423,0.0,0.0,,4.3,10.1,.423,2.9,3.8,.763,2.8,4.6,7.4,0.6,0.4,0.3,1.5,6.9,11.4
9,Darrin Hancock,24,63,7,838,4.8,9.2,.523,0.0,0.1,.333,4.8,9.1,.526,2.0,3.1,.644,1.7,2.5,4.2,2.0,1.2,0.2,2.4,4.0,11.7
10,Scott Burrell,25,20,20,693,4.8,10.7,.447,1.9,5.1,.378,2.9,5.6,.509,2.2,2.9,.750,1.4,3.7,5.1,2.4,1.4,0.7,2.2,3.9,13.7
11,Anthony Goldwire,24,42,8,621,4.4,11.0,.402,1.9,4.8,.398,2.5,6.1,.406,2.7,3.5,.767,0.5,2.0,2.5,6.5,0.9,0.0,3.7,4.6,13.4
12,Rafael Addison,31,53,0,516,5.4,11.5,.467,0.0,0.6,.000,5.4,10.9,.494,1.2,1.5,.773,1.7,4.5,6.3,2.1,0.6,0.6,1.9,5.2,11.9
13,Pete Myers,32,32,1,453,2.3,6.9,.333,0.2,1.3,.188,2.1,5.6,.366,2.5,3.7,.674,1.1,4.2,5.3,3.8,1.6,0.5,2.0,4.5,7.3
14,Khalid Reeves,23,20,5,418,4.7,10.2,.458,0.9,3.1,.306,3.7,7.1,.524,3.7,4.4,.843,0.9,2.5,3.4,6.2,1.4,0.1,2.6,4.0,14.0
15,Michael Adams,33,21,3,329,4.0,9.1,.446,1.5,4.5,.341,2.5,4.6,.548,2.8,3.8,.743,0.5,1.9,2.4,7.3,2.3,0.4,2.7,2.7,12.5
16,Greg Sutton,28,18,0,190,3.8,9.5,.400,1.3,4.0,.333,2.5,5.5,.448,2.8,3.6,.789,0.8,2.1,2.8,7.4,1.5,0.0,3.2,6.8,11.7
17,Muggsy Bogues,31,6,0,77,2.8,7.5,.375,0.0,0.5,.000,2.8,7.0,.400,0.9,0.9,1.000,2.8,0.5,3.3,8.9,0.9,0.0,2.8,1.9,6.5
18,Corey Beck,24,5,0,33,2.2,8.7,.250,0.0,0.0,,2.2,8.7,.250,1.1,2.2,.500,3.3,4.4,7.6,5.5,1.1,0.0,4.4,8.7,5.5
19,Joe Wolf,31,1,0,18,0.0,2.0,.000,0.0,0.0,,0.0,2.0,.000,0.0,0.0,,0.0,4.0,4.0,0.0,4.0,0.0,4.0,4.0,0.0
20,Gerald Glass,28,5,0,15,4.8,12.0,.400,0.0,2.4,.000,4.8,9.6,.500,2.4,2.4,1.000,2.4,2.4,4.8,0.0,2.4,0.0,0.0,12.0,12.0
21,Donald Hodge,26,2,0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
