
Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Baron Davis,21,82,3192,16.6,.512,.286,.352,4.6,9.9,7.3,32.5,2.9,0.8,17.0,19.2,,4.2,4.7,8.9,.134,,2.2,1.1,3.3,4.3
2,David Wesley,30,82,3106,15.3,.509,.208,.274,2.4,5.9,4.1,21.7,2.2,0.4,11.0,23.1,,4.2,3.4,7.6,.117,,1.4,-1.1,0.3,1.8
3,Jamal Mashburn,28,76,2989,17.5,.493,.208,.262,3.5,18.4,11.0,26.8,1.5,0.3,12.0,27.1,,3.1,4.2,7.3,.118,,1.9,0.4,2.3,3.3
4,P.J. Brown,31,80,2811,13.3,.518,.007,.373,10.5,19.6,15.1,7.3,1.5,2.4,14.2,12.5,,3.4,4.7,8.0,.137,,-1.3,2.8,1.5,2.5
5,Elden Campbell,32,78,2337,16.4,.505,.007,.487,7.7,21.9,14.8,8.1,1.4,4.4,12.4,22.8,,1.9,4.5,6.4,.131,,-2.6,1.9,-0.7,0.8
6,Eddie Robinson,24,67,1201,17.9,.559,.010,.216,5.7,13.1,9.4,9.4,2.2,2.0,8.8,18.8,,2.1,1.8,4.0,.159,,-0.5,0.6,0.2,0.7
7,Jamaal Magloire,22,74,1095,13.4,.506,.007,.535,10.8,19.9,15.4,4.2,0.9,5.2,15.4,16.7,,0.6,2.0,2.6,.114,,-4.2,1.4,-2.8,-0.2
8,Derrick Coleman,33,34,683,13.8,.469,.200,.361,7.7,23.0,15.4,10.2,0.8,2.3,12.4,22.8,,0.1,1.1,1.2,.082,,-3.0,-0.3,-3.3,-0.2
9,Hersey Hawkins,34,59,681,14.3,.555,.336,.460,2.9,10.5,6.7,17.0,2.6,1.0,10.3,12.4,,1.4,1.0,2.3,.165,,-0.4,0.5,0.1,0.4
10,Otis Thorpe,38,49,647,7.6,.487,.000,.183,8.9,16.7,12.8,7.3,1.0,0.8,18.4,12.4,,0.1,0.8,1.0,.071,,-4.1,0.2,-3.9,-0.3
11,Lee Nailon,25,42,469,11.7,.529,.007,.316,7.1,15.3,11.2,9.1,1.0,0.8,14.8,17.9,,0.4,0.6,0.9,.096,,-3.1,-0.9,-4.1,-0.2
12,Eldridge Recasner,33,43,403,6.2,.422,.342,.158,3.7,10.4,7.1,15.9,0.8,0.2,18.1,17.0,,-0.4,0.4,0.0,-0.004,,-4.6,-1.9,-6.5,-0.5
13,Tim James,24,30,197,5.8,.387,.058,.269,8.7,11.5,10.1,6.5,0.5,1.9,12.1,15.5,,-0.1,0.2,0.1,.022,,-5.8,-1.0,-6.8,-0.2
14,Scott Burrell,30,4,41,12.8,.507,.400,.267,2.8,5.5,4.2,4.6,3.9,0.0,0.0,18.8,,0.1,0.1,0.1,.135,,0.6,-1.6,-1.0,0.0
15,Doug Overton,31,2,15,1.9,1.000,.000,.000,0.0,0.0,0.0,0.0,3.6,0.0,60.0,15.4,,-0.1,0.0,0.0,-0.126,,-7.7,0.2,-7.5,0.0
16,Terrance Roberson,24,3,13,-15.0,.000,.500,.000,0.0,8.7,4.4,10.9,0.0,0.0,50.0,14.2,,-0.1,0.0,-0.1,-0.334,,-16.1,-1.5,-17.7,-0.1
