
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
42,P.J. Brown,C,6-11,225,October 14 1969,7,Louisiana Tech University
2,Scott Burrell,SF,6-7,218,January 12 1971,7,University of Connecticut
5,Elden Campbell,PF,6-11,215,July 23 1968,10,Clemson University
44,Derrick Coleman,PF,6-10,230,June 21 1967,10,Syracuse University
1,Baron Davis,PG,6-3,209,April 13 1979,1,University of California Los Angeles
33,Hersey Hawkins,SG,6-3,190,September 29 1966,12,Bradley University
25,Tim James,SF,6-7,212,December 26 1976,1,University of Miami
21,Jamaal Magloire,C,6-11,259,May 21 1978,R,University of Kentucky
24,Jamal Mashburn,SF,6-8,240,November 29 1972,7,University of Kentucky
54,Lee Nailon,SF,6-9,238,February 22 1975,R,Texas Christian University
9,Doug Overton,PG,6-3,190,August 3 1969,8,La Salle University
3,Eldridge Recasner,PG,6-3,190,December 14 1967,6,University of Washington
8,Terrance Roberson,SF,6-7,215,December 30 1976,R,California State University Fresno
32,Eddie Robinson,SF,6-8,210,April 19 1976,1,University of Central Oklahoma
52,Otis Thorpe,PF,6-9,225,August 5 1962,16,Providence College
4,David Wesley,SG,6-0,190,November 14 1970,7,Baylor University
