
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
12-21,Rick Adelman,PG,6-1,175,June 16 1946,5,Loyola Marymount University
20,Dennis Awtrey,C,6-10,235,February 22 1948,3,Santa Clara University
18,Tom Boerwinkle,C,7-0,265,August 23 1945,5,University of Tennessee
23,Rowland Garrett,SF,6-6,210,July 16 1950,1,Florida State University
42,John Hummer,PF,6-9,230,May 4 1948,3,Princeton University
10,Bob Love,PF,6-8,215,December 8 1942,7,Southern University and A&amp;M College
54,Howard Porter,SF,6-8,220,August 31 1948,2,Villanova University
14,Clifford Ray,C,6-9,230,January 21 1949,2,University of Oklahoma
4,Jerry Sloan,SG,6-5,195,March 28 1942,8,University of Evansville
2,Norm Van Lier,PG,6-1,173,April 1 1947,4,Saint Francis University
25,Chet Walker,SF,6-6,212,February 22 1940,11,Bradley University
8,Bob Weiss,SG,6-2,180,May 7 1942,8,Pennsylvania State University
