
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Michael Jordan,23,82,82,3281,1098,2279,.482,12,66,.182,1086,2213,.491,.484,833,972,.857,166,264,430,377,236,125,272,237,3041
2,Charles Oakley,23,82,81,2980,468,1052,.445,11,30,.367,457,1022,.447,.450,245,357,.686,299,775,1074,296,85,36,299,315,1192
3,John Paxson,26,82,64,2689,386,793,.487,52,140,.371,334,653,.511,.520,106,131,.809,22,117,139,467,66,8,105,207,930
4,Dave Corzine,30,82,39,2287,294,619,.475,0,5,.000,294,614,.479,.475,95,129,.736,199,341,540,209,38,87,114,202,683
5,Gene Banks,27,63,39,1822,249,462,.539,0,5,.000,249,457,.545,.539,112,146,.767,115,193,308,170,52,17,113,173,610
6,Brad Sellers,24,80,17,1751,276,606,.455,2,10,.200,274,596,.460,.457,126,173,.728,155,218,373,102,44,68,84,194,680
7,Earl Cureton,29,43,36,1105,129,276,.467,0,1,.000,129,275,.469,.467,39,73,.534,113,114,227,70,15,26,45,102,297
8,Elston Turner,27,70,4,936,112,252,.444,1,8,.125,111,244,.455,.446,23,31,.742,34,81,115,102,30,4,31,97,248
9,Mike Brown,23,62,3,818,106,201,.527,0,0,,106,201,.527,.527,46,72,.639,71,143,214,24,20,7,59,129,258
10,Sedale Threatt,25,40,0,778,131,273,.480,0,16,.000,131,257,.510,.480,53,66,.803,8,43,51,177,42,9,42,88,315
11,Granville Waiters,26,44,26,534,40,93,.430,0,1,.000,40,92,.435,.430,5,9,.556,38,49,87,22,10,31,16,83,85
12,Steve Colter,24,27,18,473,49,142,.345,0,9,.000,49,133,.368,.345,33,39,.846,9,33,42,94,19,6,32,38,131
13,Ben Poquette,31,21,1,167,21,40,.525,0,1,.000,21,39,.538,.525,9,11,.818,10,14,24,7,3,12,4,26,51
14,Pete Myers,23,29,0,155,19,52,.365,0,6,.000,19,46,.413,.365,28,43,.651,8,9,17,21,14,2,10,25,66
15,Fred Cofield,25,5,0,27,2,11,.182,0,1,.000,2,10,.200,.182,0,0,,1,4,5,4,2,0,1,1,4
16,Perry Young,23,5,0,20,2,4,.500,0,0,,2,4,.500,.500,1,2,.500,0,1,1,0,1,0,1,3,5
17,Darren Daye,26,1,0,7,0,0,,0,0,,0,0,,,0,0,,0,1,1,1,0,0,1,2,0
,Team Totals,,82,,19830,3382,7155,.473,78,299,.261,3304,6856,.482,.478,1754,2254,.778,1248,2400,3648,2143,677,438,1257,1922,8596
