
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
22,Keith Booth,SF,6-6,226,October 9 1974,R,University of Maryland
0,Randy Brown,PG,6-2,190,May 22 1968,6,New Mexico State University
30,Jud Buechler,SF,6-6,220,June 19 1968,7,University of Arizona
24,Scott Burrell,SF,6-7,218,January 12 1971,4,University of Connecticut
35,Jason Caffey,PF,6-8,255,June 12 1973,2,University of Alabama
9,Ron Harper,PG,6-6,185,January 20 1964,11,Miami University
23,Michael Jordan,SG,6-6,195,February 17 1963,12,University of North Carolina
25,Steve Kerr,PG,6-3,175,September 27 1965,9,University of Arizona
53,Joe Kleine,C,6-11,255,January 4 1962,12,University of Arkansas
7,Toni Kukoc,SF,6-10,192,September 18 1968,4,
5,Rusty LaRue,PG,6-2,210,December 10 1973,R,Wake Forest University
13,Luc Longley,C,7-2,265,January 19 1969,6,University of New Mexico
33,Scottie Pippen,SF,6-8,210,September 25 1965,10,University of Central Arkansas
91,Dennis Rodman,PF,6-7,210,May 13 1961,11,Southeastern Oklahoma State University
8,Dickey Simpkins,PF,6-9,248,April 6 1972,3,Providence College
,David Vaughn,PF,6-9,240,March 23 1973,2,University of Memphis
34,Bill Wennington,C,7-0,245,April 26 1963,10,St. John's University
