
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Luol Deng,26,54,54,39.4,5.8,14.0,.412,1.5,4.0,.367,4.3,10.0,.430,.464,2.4,3.1,.770,1.4,5.1,6.5,2.9,1.0,0.7,1.8,1.5,15.3
2,Derrick Rose,23,39,39,35.3,7.7,17.8,.435,1.4,4.4,.312,6.4,13.4,.475,.473,5.0,6.1,.812,0.7,2.7,3.4,7.9,0.9,0.7,3.1,1.3,21.8
3,Joakim Noah,26,64,64,30.4,3.9,7.7,.508,0.0,0.0,.000,3.9,7.6,.509,.508,2.4,3.2,.748,3.8,6.0,9.8,2.5,0.6,1.4,1.4,2.5,10.2
4,Carlos Boozer,30,66,66,29.5,6.8,12.8,.532,0.0,0.0,.000,6.8,12.7,.533,.532,1.4,2.1,.693,1.7,6.8,8.5,1.9,1.0,0.4,1.7,2.5,15.0
5,Richard Hamilton,33,28,28,24.9,5.0,11.1,.452,0.6,1.6,.370,4.4,9.4,.466,.479,1.0,1.3,.784,0.7,1.6,2.4,3.0,0.4,0.0,1.8,2.0,11.6
6,Ronnie Brewer,26,66,43,24.8,2.9,6.7,.427,0.3,1.0,.275,2.6,5.7,.455,.448,0.8,1.5,.560,1.1,2.4,3.5,2.1,1.1,0.3,0.9,1.0,6.9
7,C.J. Watson,27,49,25,23.7,3.3,8.9,.368,1.4,3.5,.393,1.9,5.4,.352,.446,1.7,2.1,.808,0.4,1.7,2.1,4.1,0.9,0.2,2.0,2.1,9.7
8,Kyle Korver,30,65,7,22.6,2.7,6.3,.432,1.8,4.2,.435,0.9,2.2,.426,.575,0.8,1.0,.833,0.4,2.0,2.4,1.7,0.6,0.2,0.8,1.7,8.1
9,Taj Gibson,26,63,0,20.4,3.2,6.4,.495,0.0,0.0,,3.2,6.4,.495,.495,1.3,2.1,.622,2.1,3.1,5.3,0.7,0.4,1.3,1.0,2.1,7.7
10,John Lucas III,29,49,2,14.8,2.9,7.3,.399,1.1,2.9,.393,1.8,4.4,.404,.476,0.6,0.7,.875,0.4,1.1,1.6,2.2,0.4,0.0,0.9,0.9,7.5
11,Omer Asik,25,66,2,14.7,1.2,2.4,.506,0.0,0.0,,1.2,2.4,.506,.506,0.7,1.6,.456,1.9,3.4,5.3,0.5,0.5,1.0,1.0,1.8,3.1
12,Mike James,36,11,0,10.9,1.8,4.5,.408,0.5,0.9,.600,1.3,3.5,.359,.469,0.6,0.7,.875,0.2,0.7,0.9,2.6,0.4,0.2,1.3,1.8,4.8
13,Jimmy Butler,22,42,0,8.5,0.8,1.9,.405,0.0,0.3,.182,0.7,1.6,.441,.418,1.0,1.3,.768,0.5,0.8,1.3,0.3,0.3,0.1,0.3,0.5,2.6
14,Brian Scalabrine,33,28,0,4.4,0.5,1.1,.467,0.0,0.3,.143,0.5,0.8,.565,.483,0.1,0.2,.500,0.3,0.5,0.8,0.5,0.2,0.2,0.3,0.3,1.1
