
Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Tiny Archibald,23,76,3272,23.0,.572,,.545,,,3.4,33.2,,,,,,11.8,1.1,12.9,.189,,,,,
2,Sam Lacey,23,81,2832,12.1,.449,,.174,,,16.9,8.4,,,,,,-1.0,1.2,0.3,.004,,,,,
3,Tom Van Arsdale,28,73,2598,14.7,.507,,.329,,,6.7,11.6,,,,,,3.3,0.7,4.0,.073,,,,,
4,Nate Williams,21,81,2173,11.2,.461,,.178,,,8.5,11.8,,,,,,-0.2,0.7,0.4,.009,,,,,
5,Jim Fox,28,71,2047,14.4,.513,,.366,,,16.0,5.5,,,,,,2.2,0.8,3.1,.072,,,,,
6,Matt Guokas,27,61,1975,9.9,.529,,.216,,,3.6,21.0,,,,,,1.8,0.6,2.3,.057,,,,,
7,Johnny Green,38,82,1914,15.6,.580,,.430,,,14.5,9.0,,,,,,4.5,0.8,5.3,.132,,,,,
8,John Mengelt,22,78,1438,15.8,.546,,.417,,,5.1,15.1,,,,,,3.3,0.4,3.7,.124,,,,,
9,Gil McGregor,22,42,532,6.8,.414,,.308,,,13.8,4.5,,,,,,-0.6,0.2,-0.4,-0.038,,,,,
10,Norm Van Lier,24,10,275,9.9,.366,,.244,,,10.5,24.1,,,,,,-0.5,0.1,-0.4,-0.070,,,,,
11,Ken Durrett,23,19,233,8.1,.454,,.354,,,8.3,8.1,,,,,,-0.1,0.1,0.0,.002,,,,,
12,Fred Taylor,23,21,214,5.0,.361,,.211,,,8.6,7.0,,,,,,-0.6,0.1,-0.5,-0.118,,,,,
13,Jake Jones,22,11,161,8.2,.451,,.389,,,6.2,8.5,,,,,,-0.1,0.0,0.0,-0.003,,,,,
14,Darrall Imhoff,33,9,76,4.5,.354,,.276,,,17.6,3.6,,,,,,-0.2,0.0,-0.2,-0.111,,,,,
15,Sid Catlett,23,9,40,-1.4,.231,,1.000,,,5.0,3.0,,,,,,-0.2,0.0,-0.2,-0.197,,,,,
