
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
5,John Bagley,PG,6-0,185,April 23 1960,1,Boston College
45,Jeff Cook,C,6-10,215,October 21 1956,4,Idaho State University
41,Geoff Crompton,C,6-11,280,July 4 1955,4,University of North Carolina
21,World B. Free,SG,6-2,185,December 9 1953,8,Guilford College
55,John Garris,PF,6-8,205,June 6 1959,R,Boston College
10,Stewart Granger,PG,6-3,190,October 27 1961,R,Villanova University
32,Roy Hinson,SF,6-9,210,May 2 1961,R,Rutgers University
35,Phil Hubbard,SF,6-8,215,December 13 1956,4,University of Michigan
20,Geoff Huston,PG,6-2,175,November 8 1957,4,Texas Tech University
50,Ben Poquette,PF,6-9,235,May 7 1955,6,Central Michigan University
11,Cliff Robinson,C,6-9,220,March 13 1960,4,University of Southern California
8,Lonnie Shelton,PF,6-8,240,October 19 1955,7,Oregon State University
33,Paul Thompson,SF,6-6,210,May 25 1961,R,Tulane University
