
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Roy Hinson,24,82,82,2834,621,1167,.532,0,4,.000,621,1163,.534,.532,364,506,.719,167,472,639,102,62,112,188,316,1606
2,World B. Free,32,75,75,2535,652,1433,.455,71,169,.420,581,1264,.460,.480,379,486,.780,72,146,218,314,91,19,172,186,1754
3,John Bagley,25,78,77,2472,366,865,.423,9,37,.243,357,828,.431,.428,170,215,.791,76,199,275,735,122,10,239,165,911
4,Melvin Turpin,25,80,69,2292,456,838,.544,0,4,.000,456,834,.547,.544,185,228,.811,182,374,556,55,65,106,134,260,1097
5,Ben Poquette,30,81,3,1496,166,348,.477,2,10,.200,164,338,.485,.480,72,100,.720,121,252,373,78,33,32,68,187,406
6,Keith Lee,23,58,38,1197,177,380,.466,2,9,.222,175,371,.472,.468,75,96,.781,116,235,351,67,29,37,78,204,431
7,Mark West,25,67,26,1172,113,209,.541,0,0,,113,209,.541,.541,54,103,.524,97,225,322,20,27,62,91,235,280
8,Dirk Minniefield,25,76,2,1131,167,347,.481,10,37,.270,157,310,.506,.496,73,93,.785,43,88,131,269,65,1,108,165,417
9,Edgar Jones,29,53,6,1011,187,370,.505,7,23,.304,180,347,.519,.515,132,178,.742,71,136,207,45,30,38,64,142,513
10,Lonnie Shelton,30,44,1,682,92,188,.489,0,2,.000,92,186,.495,.489,14,16,.875,38,105,143,61,21,4,48,128,198
11,Phil Hubbard,29,23,21,640,93,198,.470,0,1,.000,93,197,.472,.470,76,112,.679,48,72,120,29,20,3,66,78,262
12,Eddie Johnson,30,32,4,615,129,293,.440,24,65,.369,105,228,.461,.481,33,45,.733,13,33,46,114,8,1,60,56,315
13,Johnny Davis,30,39,0,612,102,237,.430,2,11,.182,100,226,.442,.435,67,79,.848,6,30,36,105,24,4,40,44,273
14,Ron Brewer,30,40,3,552,83,215,.386,5,17,.294,78,198,.394,.398,33,37,.892,14,39,53,40,17,6,21,43,204
15,Ben McDonald,23,21,0,266,28,58,.483,0,1,.000,28,57,.491,.483,5,8,.625,15,23,38,9,7,1,10,30,61
16,Ron Anderson,27,17,3,207,37,74,.500,0,1,.000,37,73,.507,.500,12,16,.750,5,21,26,8,1,0,6,20,86
17,Ennis Whatley,23,8,0,66,9,19,.474,0,0,,9,19,.474,.474,4,7,.571,2,5,7,13,5,0,6,8,22
,Team Totals,,82,,19780,3478,7239,.480,132,391,.338,3346,6848,.489,.490,1748,2325,.752,1086,2455,3541,2064,627,436,1411,2267,8836
