
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Craig Ehlo,28,81,64,2894,7.6,16.4,.464,1.8,4.3,.419,5.8,12.1,.480,2.2,3.2,.681,2.6,5.1,7.7,6.5,2.2,0.4,2.8,3.9,19.2,,110,108
2,Hot Rod Williams,27,82,29,2776,9.6,19.5,.493,0.0,0.0,,9.6,19.5,.493,5.9,8.0,.739,4.0,8.1,12.1,3.1,1.6,3.0,2.6,3.9,25.1,,112,104
3,Mark Price,25,73,73,2706,9.1,19.9,.459,2.8,7.0,.406,6.3,12.9,.487,5.6,6.3,.888,1.2,3.5,4.7,12.4,2.1,0.1,4.0,1.7,26.7,,119,109
4,Larry Nance,30,62,53,2065,10.1,19.7,.511,0.0,0.0,1.000,10.1,19.7,.510,4.6,5.8,.778,4.0,8.7,12.6,3.9,1.3,3.0,2.7,4.5,24.7,,113,105
5,Steve Kerr,24,78,5,1664,5.8,13.1,.444,2.2,4.4,.507,3.6,8.7,.413,1.9,2.2,.863,0.4,2.6,3.0,7.5,1.4,0.2,2.2,1.8,15.8,,114,111
6,Brad Daugherty,24,41,40,1438,8.6,17.9,.479,0.0,0.1,.000,8.6,17.8,.481,7.1,10.1,.704,2.7,10.4,13.1,4.6,1.0,0.8,3.9,3.8,24.2,,106,106
7,Chucky Brown,21,75,35,1339,7.9,16.9,.470,0.0,0.3,.000,7.9,16.6,.477,4.7,6.2,.762,3.1,5.6,8.7,1.9,1.2,1.0,2.6,5.6,20.6,,105,109
8,Winston Bennett,24,55,34,990,7.0,14.6,.479,0.0,0.0,,7.0,14.6,.479,3.3,4.9,.667,4.3,5.3,9.6,2.8,1.2,0.5,3.2,6.8,17.3,,102,109
9,Randolph Keys,23,48,13,892,8.6,20.3,.421,0.1,0.6,.200,8.4,19.8,.427,3.5,4.6,.744,2.9,4.8,7.8,2.2,2.2,0.1,2.7,6.6,20.7,,96,108
10,Chris Dudley,24,37,22,684,5.8,15.0,.389,0.0,0.0,,5.8,15.0,.389,1.9,5.7,.338,6.5,8.5,15.0,1.5,1.4,3.0,3.5,6.1,13.6,,84,104
11,Tree Rollins,34,48,19,674,4.3,9.4,.456,0.0,0.1,.000,4.3,9.3,.460,0.8,1.2,.688,4.3,7.1,11.5,1.8,1.0,4.0,2.6,6.2,9.4,,95,105
12,Reggie Williams,25,32,12,542,8.5,22.3,.381,0.6,2.5,.222,7.9,19.8,.401,2.8,3.8,.732,1.6,4.0,5.6,3.5,2.1,0.9,3.0,7.4,20.3,,89,108
13,Paul Mokeski,33,38,1,449,7.1,16.9,.420,0.0,0.1,.000,7.1,16.8,.423,2.8,4.1,.694,3.0,8.1,11.1,1.9,0.9,1.1,2.9,8.6,17.0,,92,107
14,John Morton,22,37,3,402,6.0,20.2,.298,0.9,3.8,.233,5.2,16.5,.313,5.4,7.8,.694,0.9,3.1,4.0,8.4,2.3,0.5,6.4,3.8,18.4,,79,109
15,Ron Harper,26,7,7,262,11.8,26.6,.442,0.2,1.0,.200,11.6,25.7,.451,6.0,7.9,.756,3.7,5.6,9.3,9.5,2.7,1.7,3.5,4.8,29.7,,108,105
16,Derrick Chievous,22,14,0,99,7.7,21.4,.357,0.0,0.5,.000,7.7,20.9,.366,9.7,12.3,.792,3.6,4.1,7.7,2.0,1.5,0.5,2.6,5.6,25.0,,102,109
17,Gary Voce,24,1,0,4,12.6,37.9,.333,0.0,0.0,,12.6,37.9,.333,0.0,0.0,,25.3,0.0,25.3,0.0,0.0,0.0,0.0,0.0,25.3,,102,116
