
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Chris Mills,25,80,79,2814,4.6,10.9,.420,1.2,3.1,.392,3.4,7.9,.431,2.2,2.7,.817,1.3,3.4,4.7,2.0,0.8,0.4,1.5,3.1,12.6
2,Hot Rod Williams,32,74,73,2641,5.0,11.0,.452,0.0,0.1,.200,5.0,11.0,.453,2.7,3.9,.685,2.4,4.6,6.9,2.6,1.1,1.4,2.0,2.9,12.7
3,Bobby Phills,25,80,79,2500,4.9,11.8,.414,0.3,0.8,.345,4.6,11.0,.419,2.6,3.4,.779,1.3,2.5,3.8,2.6,1.7,0.4,1.6,3.0,12.6
4,Tyrone Hill,26,70,67,2397,5.3,10.4,.504,0.0,0.0,.000,5.3,10.4,.505,3.9,6.0,.662,4.0,7.4,11.5,0.8,0.8,0.6,2.3,3.7,14.5
5,Michael Cage,33,82,21,2040,3.1,6.0,.521,0.0,0.0,.000,3.1,6.0,.524,0.9,1.6,.602,3.6,6.4,10.0,1.0,1.1,1.2,1.0,2.6,7.2
6,Terrell Brandon,24,67,41,1961,6.3,14.0,.448,0.9,2.2,.397,5.4,11.8,.457,2.9,3.4,.855,0.6,2.8,3.4,6.7,2.0,0.3,2.6,2.2,16.3
7,Mark Price,30,48,34,1375,6.6,16.0,.413,2.7,6.6,.407,3.9,9.4,.418,3.9,4.2,.914,0.7,2.3,2.9,8.8,0.9,0.1,3.7,1.3,19.8
8,Danny Ferry,28,82,6,1290,6.2,14.0,.446,2.6,6.5,.403,3.6,7.5,.483,2.1,2.3,.881,0.8,3.2,4.0,2.7,0.8,0.6,1.6,3.7,17.1
9,Tony Campbell,32,78,0,1128,5.1,12.5,.411,0.5,1.3,.357,4.7,11.2,.417,4.2,5.1,.830,1.9,3.0,4.9,2.2,1.0,0.3,2.1,3.9,15.0
10,Steve Colter,32,57,7,752,3.2,8.1,.396,0.4,1.7,.229,2.8,6.4,.440,2.6,3.4,.761,0.6,2.2,2.8,4.8,1.4,0.3,1.7,2.5,9.4
11,Greg Dreiling,32,58,3,483,3.1,7.6,.412,0.0,0.0,,3.1,7.6,.412,1.9,3.1,.634,2.4,6.3,8.6,1.6,0.4,1.6,1.9,8.0,8.2
12,John Battle,32,28,0,280,5.5,14.7,.377,1.4,4.0,.355,4.1,10.7,.386,2.4,3.3,.731,0.4,1.0,1.4,4.8,1.0,0.1,2.2,3.6,14.9
13,Fred Roberts,34,21,0,223,4.5,11.6,.389,0.6,1.8,.364,3.9,9.8,.393,3.2,4.2,.769,2.1,3.4,5.5,1.3,1.0,0.5,1.1,4.2,12.9
14,Gerald Madkins,25,7,0,28,2.6,7.7,.333,1.3,2.6,.500,1.3,5.1,.250,3.9,5.1,.750,0.0,0.0,0.0,1.3,2.6,0.0,3.9,2.6,10.3
15,Elmer Bennett,24,4,0,18,12.0,22.0,.545,0.0,4.0,.000,12.0,18.0,.667,6.0,8.0,.750,0.0,2.0,2.0,6.0,8.0,0.0,6.0,6.0,30.0
